fips,count,avgScore,year
01001,20,0.36,2010
01003,86,0.35,2010
01005,6,0.28,2010
01007,6,-0.06,2010
01009,15,0.29,2010
01011,1,0.56,2010
01013,7,0.29,2010
01015,57,0.38,2010
01017,12,0.37,2010
01019,10,0.26,2010
01021,6,0.24,2010
01023,4,0.38,2010
01025,5,-0.37,2010
01029,1,0.59,2010
01031,23,0.46,2010
01033,9,0.47,2010
01037,5,0.12,2010
01039,11,0.36,2010
01041,7,0.01,2010
01043,15,0.53,2010
01045,23,0.14,2010
01047,24,-0.01,2010
01049,8,0.32,2010
01051,27,0.2,2010
01053,3,0.6,2010
01055,33,0.21,2010
01057,3,-0.05,2010
01059,2,0.66,2010
01061,13,0.37,2010
01063,2,-0.01,2010
01065,5,0.01,2010
01067,10,0.31,2010
01069,46,0.29,2010
01071,5,0.77,2010
01073,278,0.23,2010
01075,2,0.58,2010
01077,19,0.36,2010
01079,1,-0.56,2010
01081,359,0.41,2010
01083,22,0.46,2010
01087,3,-0.14,2010
01089,103,0.36,2010
01091,8,-0.01,2010
01093,5,0.24,2010
01095,15,0.53,2010
01097,162,0.32,2010
01099,8,0.65,2010
01101,148,0.17,2010
01103,21,0.53,2010
01105,2,-0.32,2010
01109,71,0.36,2010
01111,69,0.29,2010
01113,36,0.28,2010
01115,31,0.36,2010
01117,78,0.33,2010
01119,2,-0.06,2010
01121,14,0.29,2010
01123,17,0.12,2010
01125,205,0.29,2010
01127,4,0.09,2010
01129,5,-0.2,2010
01133,7,0.12,2010
02020,174,0.35,2010
02050,4,0.43,2010
02060,2,0.27,2010
02068,1,0.39,2010
02070,1,0.47,2010
02090,59,0.29,2010
02110,10,0.5,2010
02122,13,0.24,2010
02130,1,0.82,2010
02150,4,0.48,2010
02170,60,0.53,2010
02180,1,-0.3,2010
02185,1,-0.02,2010
02201,8,0.53,2010
02220,3,0.67,2010
02240,2,0.58,2010
02261,6,0.19,2010
02280,1,0.14,2010
02282,1,0.14,2010
02290,1,0.28,2010
04001,21,0.28,2010
04003,42,0.43,2010
04005,147,0.33,2010
04007,19,0.37,2010
04009,4,0.38,2010
04011,1,0.72,2010
04012,3,0.39,2010
04013,2007,0.33,2010
04015,59,0.5,2010
04017,91,0.27,2010
04019,460,0.36,2010
04021,204,0.31,2010
04023,6,0.85,2010
04025,66,0.34,2010
04027,45,0.23,2010
05001,3,0.56,2010
05005,18,0.46,2010
05007,51,0.42,2010
05009,12,0.37,2010
05015,3,0.39,2010
05017,6,-0.11,2010
05019,8,0.04,2010
05021,2,0.21,2010
05023,2,0.08,2010
05025,1,0.31,2010
05027,5,0.32,2010
05029,5,0.4,2010
05031,88,0.36,2010
05033,17,0.31,2010
05035,17,0.02,2010
05037,2,0.04,2010
05041,1,0.8,2010
05043,2,0.36,2010
05045,149,0.3,2010
05047,1,0.69,2010
05049,6,0.35,2010
05051,18,0.29,2010
05053,5,0.3,2010
05055,16,0.44,2010
05057,3,0.16,2010
05059,4,0.29,2010
05061,3,0.13,2010
05063,12,0.38,2010
05065,6,0.36,2010
05067,11,0.12,2010
05069,25,0.3,2010
05071,12,0.35,2010
05073,2,-0.48,2010
05075,1,0.87,2010
05077,3,-0.18,2010
05079,5,-0.21,2010
05081,3,0.46,2010
05083,4,0.25,2010
05085,33,0.47,2010
05087,3,-0.1,2010
05089,6,0.59,2010
05091,9,0.41,2010
05093,73,0.09,2010
05095,4,-0.15,2010
05099,1,0.01,2010
05101,1,0.63,2010
05103,5,0.11,2010
05105,4,0.39,2010
05107,8,0.01,2010
05109,2,0.76,2010
05111,7,0.59,2010
05113,4,0.7,2010
05115,24,0.29,2010
05119,302,0.2,2010
05121,8,0.1,2010
05123,6,-0.19,2010
05125,34,0.33,2010
05127,1,0.36,2010
05129,2,0.6,2010
05131,31,0.39,2010
05135,3,0.22,2010
05137,3,0.14,2010
05139,7,-0.03,2010
05141,6,0.27,2010
05143,143,0.39,2010
05145,42,0.46,2010
05147,4,0.23,2010
05149,9,0.52,2010
06001,1411,0.31,2010
06005,11,0.49,2010
06007,242,0.37,2010
06009,20,0.08,2010
06011,3,0.72,2010
06013,423,0.37,2010
06015,35,0.35,2010
06017,85,0.35,2010
06019,389,0.3,2010
06021,9,0.14,2010
06023,56,0.31,2010
06025,25,0.19,2010
06027,2,0.34,2010
06029,225,0.35,2010
06031,22,0.33,2010
06033,25,0.45,2010
06035,15,0.43,2010
06037,4384,0.31,2010
06039,75,0.2,2010
06041,126,0.39,2010
06043,3,0.64,2010
06045,49,0.44,2010
06047,83,0.32,2010
06049,1,0.43,2010
