,stateAbb,count,avgScore,stateName,year
14,GU,1,0.99,,2012
15,HI,299,0.28,Hawaii,2012
16,IA,1700,0.36,Iowa,2012
17,ID,496,0.35,Idaho,2012
18,IL,7853,0.35,Illinois,2012
19,IN,3160,0.37,Indiana,2012
20,KS,1100,0.31,Kansas,2012
21,KY,1665,0.34,Kentucky,2012
22,LA,1021,0.28,Louisiana,2012
23,MA,5057,0.35,Massachusetts,2012
12,FL,6197,0.34,Florida,2012
25,ME,576,0.35,Maine,2012
0,AE,33,0.39,,2013
54,WV,618,0.36,West Virginia,2013
30,NC,5431,0.32,North Carolina,2013
31,ND,429,0.36,North Dakota,2013
32,NE,1381,0.39,Nebraska,2013
33,NH,738,0.37,New Hampshire,2013
34,NJ,3549,0.35,New Jersey,2013
35,NM,547,0.28,New Mexico,2013
36,NV,926,0.36,Nevada,2013
37,NY,8789,0.33,New York,2013
38,OH,7231,0.35,Ohio,2013
39,OK,718,0.35,Oklahoma,2013
40,OR,3395,0.31,Oregon,2013
29,MT,581,0.34,Montana,2013
41,PA,7469,0.36,Pennsylvania,2013
43,RI,701,0.34,Rhode Island,2013
44,SC,1662,0.3,South Carolina,2013
45,SD,367,0.36,South Dakota,2013
46,TN,1909,0.32,Tennessee,2013
47,TX,6287,0.31,Texas,2013
48,UT,1978,0.35,Utah,2013
49,VA,5085,0.33,Virginia,2013
50,VI,11,0.29,,2013
51,VT,808,0.34,Vermont,2013
52,WA,5030,0.33,Washington,2013
53,WI,5904,0.38,Wisconsin,2013
42,PR,6,0.3,,2013
28,MS,710,0.24,Mississippi,2013
55,WY,186,0.33,Wyoming,2013
26,MN,3886,0.34,Minnesota,2013
1,AK,180,0.32,Alaska,2013
2,AL,1466,0.31,Alabama,2013
3,AP,27,0.47,,2013
4,AR,1085,0.3,Arkansas,2013
5,AZ,1942,0.32,Arizona,2013
6,CA,16440,0.32,California,2013
7,CO,3798,0.31,Colorado,2013
27,MO,3072,0.34,Missouri,2013
9,DC,1073,0.28,District of Columbia,2013
10,DE,416,0.33,Delaware,2013
11,FL,6541,0.33,Florida,2013
12,GA,4774,0.26,Georgia,2013
8,CT,2247,0.37,Connecticut,2013
14,HI,304,0.32,Hawaii,2013
13,GU,3,0.09,,2013
24,ME,714,0.38,Maine,2013
23,MD,3781,0.28,Maryland,2013
22,MA,5764,0.34,Massachusetts,2013
21,LA,978,0.29,Louisiana,2013
25,MI,5585,0.33,Michigan,2013
19,KS,1198,0.37,Kansas,2013
18,IN,3565,0.37,Indiana,2013
17,IL,7792,0.34,Illinois,2013
16,ID,689,0.32,Idaho,2013
15,IA,1680,0.37,Iowa,2013
20,KY,1530,0.36,Kentucky,2013
15,HI,441,0.28,Hawaii,2014
16,IA,2075,0.32,Iowa,2014
17,ID,946,0.33,Idaho,2014
18,IL,10818,0.32,Illinois,2014
21,KY,2128,0.33,Kentucky,2014
20,KS,1756,0.35,Kansas,2014
22,LA,1448,0.32,Louisiana,2014
23,MA,8862,0.32,Massachusetts,2014
24,MD,5860,0.27,Maryland,2014
19,IN,4473,0.34,Indiana,2014
14,GU,8,0.36,,2014
1,AE,41,0.16,,2014
12,FL,7958,0.32,Florida,2014
11,DE,467,0.29,Delaware,2014
10,DC,2407,0.25,District of Columbia,2014
9,CT,2951,0.32,Connecticut,2014
8,CO,5847,0.29,Colorado,2014
7,CA,22974,0.28,California,2014
6,AZ,2983,0.31,Arizona,2014
5,AR,1025,0.3,Arkansas,2014
4,AP,18,0.32,,2014
3,AL,1548,0.28,Alabama,2014
55,WI,7209,0.35,Wisconsin,2014
25,ME,714,0.33,Maine,2014
13,GA,5979,0.26,Georgia,2014
26,MI,7367,0.31,Michigan,2014
39,NY,13445,0.3,New York,2014
28,MO,4862,0.32,Missouri,2014
0,AA,1,-0.03,,2014
52,VI,26,0.2,,2014
51,VA,6978,0.31,Virginia,2014
50,UT,2626,0.31,Utah,2014
49,TX,10113,0.3,Texas,2014
48,TN,2240,0.27,Tennessee,2014
47,SD,434,0.35,South Dakota,2014
46,SC,1784,0.27,South Carolina,2014
45,RI,902,0.35,Rhode Island,2014
44,PR,11,0.17,,2014
43,PA,9993,0.32,Pennsylvania,2014
27,MN,5656,0.33,Minnesota,2014
42,OR,4754,0.28,Oregon,2014
40,OH,8356,0.33,Ohio,2014
38,NV,1227,0.32,Nevada,2014
37,NM,743,0.29,New Mexico,2014
36,NJ,4847,0.32,New Jersey,2014
35,NH,869,0.32,New Hampshire,2014
34,NE,1743,0.35,Nebraska,2014
33,ND,397,0.35,North Dakota,2014
32,NC,6987,0.31,North Carolina,2014
31,MT,457,0.32,Montana,2014
30,MS,1009,0.23,Mississippi,2014
29,MP,1,0.91,,2014
41,OK,1189,0.32,Oklahoma,2014
2,AK,322,0.3,Alaska,2014
54,WA,7238,0.3,Washington,2014
57,WY,218,0.3,Wyoming,2014
56,WV,699,0.35,West Virginia,2014
53,VT,956,0.32,Vermont,2014
1,AK,268,0.29,Alaska,2015
29,MS,859,0.23,Mississippi,2015
30,MT,396,0.3,Montana,2015
31,NC,7209,0.28,North Carolina,2015
32,ND,412,0.28,North Dakota,2015
33,NE,1435,0.31,Nebraska,2015
34,NM,847,0.27,New Mexico,2015
35,NV,1324,0.27,Nevada,2015
36,NY,14389,0.28,New York,2015
37,OH,9407,0.31,Ohio,2015
38,OK,1586,0.28,Oklahoma,2015
40,PA,9810,0.31,Pennsylvania,2015
41,SC,2058,0.3,South Carolina,2015
42,SD,508,0.32,South Dakota,2015
43,TN,2668,0.29,Tennessee,2015
44,TX,12664,0.28,Texas,2015
45,UT,2445,0.31,Utah,2015
46,VA,6958,0.28,Virginia,2015
47,WA,8890,0.26,Washington,2015
48,WI,7039,0.33,Wisconsin,2015
49,WV,575,0.32,West Virginia,2015
50,WY,197,0.22,Wyoming,2015
39,OR,4806,0.25,Oregon,2015
28,MP,1,0.32,,2015
27,MO,4918,0.31,Missouri,2015
25,MI,6717,0.29,Michigan,2015
2,AL,1538,0.27,Alabama,2015
3,AP,10,0.04,,2015
4,AR,894,0.28,Arkansas,2015
5,AZ,3309,0.29,Arizona,2015
6,CA,31019,0.27,California,2015
7,CO,5167,0.27,Colorado,2015
8,DC,1680,0.22,District of Columbia,2015
9,DE,843,0.3,Delaware,2015
10,FL,9811,0.29,Florida,2015
11,FM,1,0.56,,2015
12,GA,5964,0.25,Georgia,2015
13,GU,4,0.3,,2015
14,HI,462,0.28,Hawaii,2015
15,IA,2612,0.32,Iowa,2015
16,ID,940,0.3,Idaho,2015
17,IL,10720,0.29,Illinois,2015
18,IN,4059,0.32,Indiana,2015
19,KS,1838,0.28,Kansas,2015
20,KY,2520,0.29,Kentucky,2015
21,LA,1704,0.24,Louisiana,2015
22,MA,4,-0.45,Massachusetts,2015
23,MD,5708,0.25,Maryland,2015
24,MH,1,0.33,,2015
0,AA,2,0.65,,2015
26,MN,6040,0.32,Minnesota,2015
1,AE,10,0.15,,2016
57,WI,11952,0.34,Wisconsin,2016
26,ME,518,0.34,Maine,2016
25,MD,9279,0.24,Maryland,2016
24,MA,5959,0.33,Massachusetts,2016
23,LA,2315,0.26,Louisiana,2016
22,KY,5149,0.32,Kentucky,2016
21,KS,3451,0.31,Kansas,2016
20,IN,6455,0.32,Indiana,2016
19,IL,17315,0.3,Illinois,2016
18,ID,1653,0.29,Idaho,2016
17,IA,4432,0.34,Iowa,2016
16,HI,691,0.25,Hawaii,2016
15,GU,10,0.5,,2016
14,GA,9285,0.25,Georgia,2016
13,FL,13693,0.3,Florida,2016
12,DE,1070,0.28,Delaware,2016
11,DC,2970,0.2,District of Columbia,2016
10,CT,2072,0.36,Connecticut,2016
9,CO,9368,0.27,Colorado,2016
8,CA,44310,0.26,California,2016
7,AZ,4605,0.29,Arizona,2016
6,AS,1,0.66,,2016
5,AR,1544,0.29,Arkansas,2016
4,AP,29,0.09,,2016
3,AL,2723,0.28,Alabama,2016
2,AK,456,0.27,Alaska,2016
27,MI,11022,0.31,Michigan,2016
28,MN,10844,0.32,Minnesota,2016
29,MO,6937,0.28,Missouri,2016
30,MP,1,-0.23,,2016
56,WA,13814,0.26,Washington,2016
55,VT,620,0.33,Vermont,2016
54,VI,5,-0.09,,2016
53,VA,10649,0.29,Virginia,2016
52,UT,3621,0.3,Utah,2016
51,TX,19224,0.28,Texas,2016
50,TN,4832,0.28,Tennessee,2016
49,SD,799,0.33,South Dakota,2016
48,SC,3552,0.29,South Carolina,2016
47,RI,559,0.35,Rhode Island,2016
46,PW,2,0.68,,2016
45,PR,16,0.38,,2016
0,AA,2,0.05,,2016
44,PA,14765,0.3,Pennsylvania,2016
42,OK,2436,0.28,Oklahoma,2016
41,OH,15851,0.31,Ohio,2016
40,NY,22039,0.28,New York,2016
39,NV,1820,0.27,Nevada,2016
38,NM,1475,0.27,New Mexico,2016
37,NJ,3314,0.36,New Jersey,2016
36,NH,631,0.36,New Hampshire,2016
35,NE,2787,0.32,Nebraska,2016
34,ND,531,0.3,North Dakota,2016
33,NC,14335,0.29,North Carolina,2016
32,MT,699,0.27,Montana,2016
31,MS,1614,0.25,Mississippi,2016
43,OR,7368,0.26,Oregon,2016
58,WV,900,0.32,West Virginia,2016
59,WY,334,0.27,Wyoming,2016
28,MO,8583,0.32,Missouri,2017
30,MT,968,0.31,Montana,2017
31,NC,14514,0.29,North Carolina,2017
32,ND,614,0.39,North Dakota,2017
33,NE,3323,0.34,Nebraska,2017
34,NH,1853,0.36,New Hampshire,2017
35,NJ,10105,0.33,New Jersey,2017
36,NM,1643,0.29,New Mexico,2017
37,NV,2111,0.28,Nevada,2017
38,NY,23879,0.29,New York,2017
39,OH,18320,0.32,Ohio,2017
40,OK,2496,0.29,Oklahoma,2017
29,MS,1736,0.26,Mississippi,2017
41,OR,7898,0.26,Oregon,2017
43,PR,37,0.29,,2017
44,RI,1676,0.33,Rhode Island,2017
45,SC,3826,0.32,South Carolina,2017
46,SD,916,0.37,South Dakota,2017
47,TN,4848,0.31,Tennessee,2017
48,TX,19577,0.29,Texas,2017
49,UT,4207,0.33,Utah,2017
50,VA,12151,0.3,Virginia,2017
51,VI,14,0.3,,2017
52,VT,2175,0.31,Vermont,2017
53,WA,15181,0.27,Washington,2017
42,PA,16968,0.32,Pennsylvania,2017
27,MN,11925,0.33,Minnesota,2017
26,MI,13509,0.31,Michigan,2017
25,ME,1533,0.3,Maine,2017
0,AA,2,0.34,,2017
1,AE,29,0.34,,2017
2,AK,537,0.33,Alaska,2017
3,AL,3270,0.29,Alabama,2017
4,AP,23,0.22,,2017
5,AR,2369,0.31,Arkansas,2017
6,AZ,6008,0.29,Arizona,2017
7,CA,50531,0.27,California,2017
8,CO,10849,0.28,Colorado,2017
9,CT,5667,0.32,Connecticut,2017
10,DC,2954,0.21,District of Columbia,2017
11,DE,1235,0.31,Delaware,2017
12,FL,14727,0.32,Florida,2017
13,GA,10497,0.25,Georgia,2017
14,GU,12,0.33,,2017
15,HI,805,0.31,Hawaii,2017
16,IA,5756,0.36,Iowa,2017
17,ID,1860,0.33,Idaho,2017
18,IL,19374,0.31,Illinois,2017
19,IN,8318,0.33,Indiana,2017
20,KS,3354,0.34,Kansas,2017
21,KY,5270,0.32,Kentucky,2017
22,LA,2731,0.27,Louisiana,2017
23,MA,16850,0.3,Massachusetts,2017
24,MD,9644,0.26,Maryland,2017
54,WI,12955,0.35,Wisconsin,2017
55,WV,1108,0.34,West Virginia,2017
56,WY,315,0.32,Wyoming,2017
57,WV,1256,0.35,West Virginia,2018
24,MA,14911,0.29,Massachusetts,2018
23,LA,2643,0.25,Louisiana,2018
22,KY,4935,0.31,Kentucky,2018
21,KS,3210,0.32,Kansas,2018
20,IN,9231,0.32,Indiana,2018
19,IL,19740,0.3,Illinois,2018
18,ID,2127,0.33,Idaho,2018
17,IA,6052,0.33,Iowa,2018
16,HI,856,0.26,Hawaii,2018
15,GU,10,0.25,,2018
14,GA,9905,0.23,Georgia,2018
13,FL,14549,0.29,Florida,2018
25,MD,10405,0.25,Maryland,2018
12,DE,1368,0.29,Delaware,2018
10,CT,5384,0.32,Connecticut,2018
9,CO,10515,0.27,Colorado,2018
8,CA,51848,0.25,California,2018
7,AZ,5414,0.28,Arizona,2018
6,AS,3,0.38,,2018
5,AR,2171,0.29,Arkansas,2018
4,AP,22,0.41,,2018
3,AL,2883,0.28,Alabama,2018
2,AK,497,0.27,Alaska,2018
1,AE,25,0.3,,2018
0,AA,2,0.02,,2018
56,WI,11910,0.34,Wisconsin,2018
11,DC,2743,0.19,District of Columbia,2018
55,WA,15937,0.26,Washington,2018
26,ME,1647,0.31,Maine,2018
28,MN,12036,0.31,Minnesota,2018
54,VT,1938,0.32,Vermont,2018
53,VI,11,0.18,,2018
52,VA,11110,0.27,Virginia,2018
51,UT,4416,0.3,Utah,2018
50,TX,20221,0.27,Texas,2018
49,TN,5088,0.28,Tennessee,2018
48,SD,912,0.34,South Dakota,2018
47,SC,3529,0.29,South Carolina,2018
46,RI,1726,0.3,Rhode Island,2018
45,PR,42,0.4,,2018
44,PA,16934,0.31,Pennsylvania,2018
43,OR,8030,0.25,Oregon,2018
27,MI,13255,0.3,Michigan,2018
42,OK,2765,0.3,Oklahoma,2018
40,NY,24407,0.27,New York,2018
39,NV,1676,0.25,Nevada,2018
38,NM,1574,0.27,New Mexico,2018
37,NJ,9117,0.32,New Jersey,2018
36,NH,1861,0.34,New Hampshire,2018
35,NE,3449,0.32,Nebraska,2018
34,ND,585,0.36,North Dakota,2018
33,NC,13611,0.28,North Carolina,2018
32,MT,912,0.32,Montana,2018
31,MS,1691,0.28,Mississippi,2018
30,MP,1,0.04,,2018
29,MO,8528,0.3,Missouri,2018
41,OH,16655,0.3,Ohio,2018
58,WY,410,0.32,Wyoming,2018
3,AL,3445,0.28,Alabama,2019
24,MD,10795,0.23,Maryland,2019
26,MI,13094,0.29,Michigan,2019
25,ME,1504,0.28,Maine,2019
23,MA,14755,0.29,Massachusetts,2019
22,LA,2584,0.23,Louisiana,2019
21,KY,5158,0.29,Kentucky,2019
20,KS,3394,0.3,Kansas,2019
19,IN,9620,0.3,Indiana,2019
18,IL,18788,0.29,Illinois,2019
17,ID,2050,0.3,Idaho,2019
16,IA,5859,0.32,Iowa,2019
15,HI,694,0.25,Hawaii,2019
27,MN,11586,0.31,Minnesota,2019
14,GU,17,0.19,,2019
12,FL,14561,0.28,Florida,2019
11,DE,1434,0.26,Delaware,2019
10,DC,2667,0.19,District of Columbia,2019
9,CT,5869,0.31,Connecticut,2019
8,CO,10810,0.26,Colorado,2019
7,CA,53626,0.25,California,2019
6,AZ,5850,0.28,Arizona,2019
5,AR,2355,0.3,Arkansas,2019
4,AP,53,0.25,,2019
2,AK,548,0.25,Alaska,2019
1,AE,113,0.22,,2019
13,GA,10755,0.22,Georgia,2019
28,MO,8301,0.31,Missouri,2019
29,MP,2,0.1,,2019
30,MS,1869,0.23,Mississippi,2019
52,VI,34,0.09,,2019
53,VT,1940,0.28,Vermont,2019
54,WA,16553,0.26,Washington,2019
55,WI,12147,0.33,Wisconsin,2019
56,WV,1231,0.32,West Virginia,2019
57,WY,399,0.27,Wyoming,2019
49,TX,18830,0.25,Texas,2019
48,TN,4722,0.27,Tennessee,2019
47,SD,1192,0.38,South Dakota,2019
46,SC,3431,0.27,South Carolina,2019
45,RI,2208,0.3,Rhode Island,2019
44,PR,171,0.24,,2019
43,PA,17747,0.3,Pennsylvania,2019
42,OR,7740,0.24,Oregon,2019
41,OK,2882,0.29,Oklahoma,2019
40,OH,16456,0.3,Ohio,2019
39,NY,23212,0.27,New York,2019
38,NV,1897,0.27,Nevada,2019
37,NM,1817,0.26,New Mexico,2019
36,NJ,10185,0.31,New Jersey,2019
35,NH,1838,0.34,New Hampshire,2019
34,NE,2981,0.31,Nebraska,2019
33,ND,575,0.35,North Dakota,2019
32,NC,13921,0.27,North Carolina,2019
31,MT,768,0.29,Montana,2019
0,AA,3,-0.1,,2019
51,VA,12463,0.27,Virginia,2019
50,UT,4585,0.3,Utah,2019
56,VT,3304,0.27,Vermont,2020
27,MH,1,0.59,,2020
26,ME,3704,0.25,Maine,2020
25,MD,21318,0.23,Maryland,2020
24,MA,30279,0.26,Massachusetts,2020
23,LA,5278,0.23,Louisiana,2020
22,KY,9347,0.27,Kentucky,2020
21,KS,5876,0.28,Kansas,2020
20,IN,15373,0.27,Indiana,2020
19,IL,31331,0.26,Illinois,2020
18,ID,3220,0.27,Idaho,2020
17,IA,9151,0.29,Iowa,2020
16,HI,1561,0.2,Hawaii,2020
15,GU,24,0.35,,2020
28,MI,21298,0.27,Michigan,2020
14,GA,20850,0.22,Georgia,2020
12,DE,3093,0.25,Delaware,2020
11,DC,5613,0.2,District of Columbia,2020
10,CT,10808,0.27,Connecticut,2020
9,CO,19812,0.23,Colorado,2020
8,CA,105401,0.22,California,2020
7,AZ,11214,0.24,Arizona,2020
6,AS,2,-0.23,,2020
5,AR,4189,0.26,Arkansas,2020
4,AP,129,0.14,,2020
3,AL,5722,0.26,Alabama,2020
2,AK,1073,0.25,Alaska,2020
1,AE,201,0.17,,2020
0,AA,9,0.03,,2020
13,FL,28178,0.26,Florida,2020
29,MN,19742,0.27,Minnesota,2020
30,MO,13188,0.26,Missouri,2020
45,PA,30708,0.27,Pennsylvania,2020
57,WA,28854,0.22,Washington,2020
58,WI,18176,0.28,Wisconsin,2020
54,VA,22316,0.25,Virginia,2020
60,WY,639,0.24,Wyoming,2020
53,UT,9017,0.25,Utah,2020
52,TX,40141,0.23,Texas,2020
51,TN,9845,0.25,Tennessee,2020
50,SD,1686,0.31,South Dakota,2020
49,SC,7219,0.25,South Carolina,2020
48,RI,3452,0.26,Rhode Island,2020
47,PW,1,0.32,,2020
46,PR,218,0.22,,2020
55,VI,33,0.11,,2020
59,WV,2023,0.28,West Virginia,2020
43,OK,4979,0.25,Oklahoma,2020
31,MP,2,0.62,,2020
32,MS,2647,0.24,Mississippi,2020
33,MT,1712,0.24,Montana,2020
34,NC,22616,0.24,North Carolina,2020
35,ND,1241,0.3,North Dakota,2020
44,OR,15440,0.21,Oregon,2020
36,NE,4690,0.28,Nebraska,2020
38,NJ,18094,0.27,New Jersey,2020
39,NM,3108,0.22,New Mexico,2020
40,NV,3812,0.23,Nevada,2020
41,NY,49500,0.25,New York,2020
42,OH,30254,0.27,Ohio,2020
37,NH,3351,0.29,New Hampshire,2020
55,WA,22703,0.22,Washington,2021
58,WY,640,0.24,Wyoming,2021
0,AA,1,-0.24,,2021
1,AE,141,0.2,,2021
53,VI,37,0.16,,2021
24,MA,22909,0.25,Massachusetts,2021
23,LA,4187,0.22,Louisiana,2021
22,KY,6828,0.27,Kentucky,2021
21,KS,5016,0.26,Kansas,2021
20,IN,12986,0.26,Indiana,2021
19,IL,27779,0.26,Illinois,2021
18,ID,2542,0.26,Idaho,2021
17,IA,7331,0.28,Iowa,2021
16,HI,1250,0.23,Hawaii,2021
15,GU,29,0.3,,2021
14,GA,15962,0.2,Georgia,2021
25,MD,14516,0.2,Maryland,2021
13,FL,21811,0.25,Florida,2021
11,DC,3658,0.17,District of Columbia,2021
10,CT,8594,0.26,Connecticut,2021
9,CO,14586,0.23,Colorado,2021
8,CA,77467,0.21,California,2021
7,AZ,8667,0.23,Arizona,2021
6,AS,1,0.06,,2021
5,AR,4053,0.23,Arkansas,2021
4,AP,89,0.18,,2021
3,AL,5735,0.23,Alabama,2021
2,AK,871,0.23,Alaska,2021
54,VT,2848,0.25,Vermont,2021
12,DE,2463,0.25,Delaware,2021
26,ME,2679,0.27,Maine,2021
57,WV,1817,0.27,West Virginia,2021
28,MN,16713,0.27,Minnesota,2021
27,MI,19344,0.27,Michigan,2021
52,VA,15463,0.23,Virginia,2021
51,UT,6916,0.26,Utah,2021
50,TX,30184,0.23,Texas,2021
49,TN,7580,0.24,Tennessee,2021
48,SD,1183,0.28,South Dakota,2021
47,SC,5774,0.23,South Carolina,2021
45,PR,207,0.21,,2021
44,PA,25855,0.27,Pennsylvania,2021
43,OR,10237,0.22,Oregon,2021
42,OK,4902,0.24,Oklahoma,2021
41,OH,26096,0.26,Ohio,2021
46,RI,2866,0.25,Rhode Island,2021
39,NV,3005,0.21,Nevada,2021
29,MO,11314,0.25,Missouri,2021
40,NY,36796,0.25,New York,2021
30,MP,2,-0.1,,2021
31,MS,2645,0.21,Mississippi,2021
32,MT,1293,0.23,Montana,2021
33,NC,17948,0.23,North Carolina,2021
56,WI,19252,0.29,Wisconsin,2021
35,NE,4377,0.27,Nebraska,2021
36,NH,2877,0.29,New Hampshire,2021
38,NM,2485,0.21,New Mexico,2021
37,NJ,15473,0.26,New Jersey,2021
34,ND,1066,0.3,North Dakota,2021
41,OK,3590,0.24,Oklahoma,2022
40,OH,17969,0.26,Ohio,2022
39,NY,22620,0.24,New York,2022
38,NV,2654,0.23,Nevada,2022
37,NM,1594,0.23,New Mexico,2022
35,NH,19,0.22,New Hampshire,2022
34,NE,2985,0.29,Nebraska,2022
33,ND,702,0.31,North Dakota,2022
32,NC,15413,0.23,North Carolina,2022
31,MT,901,0.23,Montana,2022
36,NJ,49,0.37,New Jersey,2022
42,OR,8906,0.21,Oregon,2022
54,WA,14971,0.22,Washington,2022
44,PR,98,0.13,,2022
45,RI,10,0.3,Rhode Island,2022
46,SC,3985,0.22,South Carolina,2022
47,SD,880,0.26,South Dakota,2022
48,TN,5022,0.23,Tennessee,2022
