,stateAbb,count,avgScore,stateName,year
49,TX,19928,0.22,Texas,2022
50,UT,4385,0.27,Utah,2022
51,VA,9928,0.22,Virginia,2022
52,VI,10,0.19,,2022
53,VT,29,0.35,Vermont,2022
30,MS,1986,0.2,Mississippi,2022
55,WI,11896,0.3,Wisconsin,2022
43,PA,15861,0.26,Pennsylvania,2022
29,MO,7452,0.25,Missouri,2022
17,IA,5601,0.29,Iowa,2022
27,MI,15439,0.26,Michigan,2022
0,AA,3,0.29,,2022
1,AE,36,0.16,,2022
2,AK,597,0.25,Alaska,2022
3,AL,3990,0.21,Alabama,2022
4,AP,31,0.12,,2022
5,AR,2767,0.25,Arkansas,2022
6,AS,2,0.5,,2022
7,AZ,5823,0.23,Arizona,2022
8,CA,50211,0.21,California,2022
9,CO,9511,0.22,Colorado,2022
10,CT,30,0.12,Connecticut,2022
11,DC,2125,0.18,District of Columbia,2022
12,DE,1664,0.23,Delaware,2022
13,FL,15591,0.25,Florida,2022
14,GA,11005,0.19,Georgia,2022
15,GU,20,0.3,,2022
16,HI,839,0.19,Hawaii,2022
57,WY,448,0.27,Wyoming,2022
18,ID,1631,0.26,Idaho,2022
19,IL,18793,0.25,Illinois,2022
20,IN,8116,0.27,Indiana,2022
21,KS,2730,0.25,Kansas,2022
22,KY,6085,0.27,Kentucky,2022
23,LA,3102,0.21,Louisiana,2022
24,MA,75,0.22,Massachusetts,2022
25,MD,9753,0.19,Maryland,2022
26,ME,36,0.31,Maine,2022
28,MN,11583,0.27,Minnesota,2022
56,WV,1122,0.3,West Virginia,2022
46,SC,876,0.2,South Carolina,2023
56,WV,213,0.28,West Virginia,2023
24,MD,1928,0.17,Maryland,2023
23,MA,2480,0.25,Massachusetts,2023
22,LA,557,0.18,Louisiana,2023
21,KY,1250,0.27,Kentucky,2023
20,KS,641,0.24,Kansas,2023
19,IN,2467,0.28,Indiana,2023
18,IL,4449,0.26,Illinois,2023
17,ID,385,0.24,Idaho,2023
16,IA,1107,0.29,Iowa,2023
15,HI,150,0.17,Hawaii,2023
14,GU,3,0.17,,2023
13,GA,2489,0.19,Georgia,2023
12,FL,2762,0.25,Florida,2023
11,DE,411,0.23,Delaware,2023
10,DC,375,0.14,District of Columbia,2023
9,CT,985,0.27,Connecticut,2023
8,CO,2231,0.21,Colorado,2023
7,CA,10312,0.21,California,2023
6,AZ,1119,0.23,Arizona,2023
5,AR,621,0.26,Arkansas,2023
4,AP,7,0.27,,2023
3,AL,820,0.23,Alabama,2023
2,AK,122,0.26,Alaska,2023
1,AE,19,0.11,,2023
0,AA,1,-0.05,,2023
25,ME,366,0.28,Maine,2023
57,WY,96,0.23,Wyoming,2023
26,MI,2945,0.27,Michigan,2023
28,MO,1329,0.25,Missouri,2023
55,WI,2087,0.3,Wisconsin,2023
54,WA,2986,0.22,Washington,2023
53,VT,306,0.27,Vermont,2023
52,VI,4,0.25,,2023
51,VA,1872,0.23,Virginia,2023
50,UT,1161,0.27,Utah,2023
49,TX,4230,0.22,Texas,2023
48,TN,1022,0.24,Tennessee,2023
47,SD,173,0.33,South Dakota,2023
45,RI,445,0.24,Rhode Island,2023
44,PR,22,0.18,,2023
43,PA,3656,0.26,Pennsylvania,2023
42,OR,1374,0.21,Oregon,2023
41,OK,630,0.26,Oklahoma,2023
40,OH,3239,0.25,Ohio,2023
39,NY,4905,0.25,New York,2023
38,NV,559,0.19,Nevada,2023
37,NM,342,0.21,New Mexico,2023
36,NJ,1822,0.25,New Jersey,2023
35,NH,456,0.31,New Hampshire,2023
34,NE,693,0.29,Nebraska,2023
33,ND,188,0.34,North Dakota,2023
31,MT,161,0.22,Montana,2023
30,MS,357,0.2,Mississippi,2023
29,MP,1,0.23,,2023
27,MN,2047,0.28,Minnesota,2023
32,NC,3223,0.22,North Carolina,2023
