fips,count,avgScore,year
01001,41,0.3,2020
01003,234,0.34,2020
01005,11,0.26,2020
01007,12,0.17,2020
01009,18,0.29,2020
01011,5,0.12,2020
01013,10,0.13,2020
01015,98,0.22,2020
01017,21,0.11,2020
01019,9,0.05,2020
01021,19,0.33,2020
01023,5,0.3,2020
01025,11,0.11,2020
01027,6,0.46,2020
01029,6,0.39,2020
01031,31,0.43,2020
01033,26,0.41,2020
01037,4,0.6,2020
01039,20,0.41,2020
01041,5,0.17,2020
01043,43,0.33,2020
01045,33,0.33,2020
01047,9,0.23,2020
01049,37,0.34,2020
01051,66,0.12,2020
01053,25,0.38,2020
01055,45,0.25,2020
01057,5,0.6,2020
01059,9,0.16,2020
01061,10,0.29,2020
01063,2,0.34,2020
01065,5,0.08,2020
01067,6,0.16,2020
01069,93,0.26,2020
01071,17,0.27,2020
01073,1506,0.24,2020
01075,2,0.67,2020
01077,52,0.28,2020
01079,11,0.07,2020
01081,554,0.3,2020
01083,104,0.24,2020
01085,2,0.63,2020
01087,10,0.04,2020
01089,493,0.27,2020
01091,12,0.19,2020
01093,11,0.61,2020
01095,60,0.41,2020
01097,545,0.22,2020
01099,11,0.33,2020
01101,236,0.2,2020
01103,74,0.34,2020
01105,2,-0.2,2020
01107,6,0.07,2020
01109,75,0.2,2020
01111,9,0.12,2020
01113,39,0.18,2020
01115,68,0.24,2020
01117,426,0.27,2020
01119,14,0.22,2020
01121,35,0.26,2020
01123,20,0.26,2020
01125,291,0.27,2020
01127,39,0.35,2020
01129,7,0.18,2020
01131,5,0.12,2020
01133,6,0.52,2020
02016,1,0.17,2020
02020,571,0.23,2020
02050,14,0.27,2020
02068,8,0.17,2020
02070,9,0.2,2020
02090,161,0.2,2020
02100,9,0.52,2020
02110,90,0.32,2020
02122,57,0.26,2020
02130,13,0.21,2020
02150,7,0.12,2020
02164,3,-0.17,2020
02170,73,0.27,2020
02180,4,0.28,2020
02185,4,0.22,2020
02188,2,0.63,2020
02201,2,0.3,2020
02220,16,0.41,2020
02232,9,0.54,2020
02240,2,0.38,2020
02261,4,0.69,2020
02270,2,0.41,2020
02280,8,0.38,2020
02290,4,0.43,2020
04001,17,0.27,2020
04003,100,0.28,2020
04005,393,0.23,2020
04007,33,0.34,2020
04009,13,0.32,2020
04011,3,0.66,2020
04012,5,0.14,2020
04013,7984,0.24,2020
04015,83,0.34,2020
04017,33,0.27,2020
04019,1872,0.22,2020
04021,258,0.25,2020
04023,23,0.37,2020
04025,234,0.25,2020
04027,163,0.33,2020
05001,7,0.35,2020
05003,5,0.48,2020
05005,20,0.47,2020
05007,775,0.26,2020
05009,15,0.32,2020
05011,3,-0.6,2020
05015,16,0.42,2020
05017,3,0.05,2020
05019,35,0.28,2020
05021,7,0.38,2020
05023,18,0.28,2020
05025,4,0.16,2020
05027,7,0.27,2020
05029,12,-0.06,2020
05031,173,0.27,2020
05033,46,0.33,2020
05035,27,0.23,2020
05037,6,0.32,2020
05039,2,0.55,2020
05041,1,-0.88,2020
05043,11,0.21,2020
05045,216,0.28,2020
05047,3,0.3,2020
05049,5,0.6,2020
05051,83,0.31,2020
05053,8,0.35,2020
05055,29,0.37,2020
05057,38,0.24,2020
05059,13,0.41,2020
05061,2,0.86,2020
05063,36,0.37,2020
05065,4,0.41,2020
05067,7,0.46,2020
05069,25,0.16,2020
05071,14,0.29,2020
05073,8,0.23,2020
05075,7,0.38,2020
05077,1,-0.38,2020
05079,1,-0.32,2020
05081,4,0.31,2020
05083,6,0.17,2020
05085,71,0.28,2020
05087,12,0.43,2020
05089,7,0.1,2020
05091,24,0.35,2020
05093,14,0.2,2020
05095,2,0.38,2020
05099,5,0.46,2020
05101,1,1.08,2020
05103,9,0.22,2020
05105,7,0.37,2020
05107,4,0.38,2020
05109,1,0.7,2020
05111,4,0.21,2020
05113,4,0.12,2020
05115,83,0.26,2020
05117,2,0.27,2020
05119,833,0.21,2020
05121,7,0.28,2020
05123,30,0.01,2020
05125,127,0.23,2020
05127,1,0.51,2020
05131,202,0.28,2020
05133,5,0.34,2020
05135,7,0.3,2020
05137,8,0.29,2020
05139,21,0.18,2020
05141,8,0.18,2020
05143,892,0.27,2020
05145,81,0.23,2020
05147,7,0.39,2020
05149,7,0.42,2020
06001,7819,0.18,2020
06003,1,0.3,2020
06005,43,0.34,2020
06007,541,0.22,2020
06009,41,0.36,2020
06011,24,0.41,2020
06013,3912,0.22,2020
06015,30,0.21,2020
06017,557,0.3,2020
06019,2035,0.22,2020
06021,28,0.43,2020
06023,422,0.22,2020
06025,138,0.31,2020
06027,60,0.17,2020
06029,1161,0.22,2020
06031,220,0.16,2020
06033,49,0.26,2020
06035,19,0.38,2020
06037,25505,0.2,2020
06039,210,0.24,2020
06041,1379,0.27,2020
06043,14,0.34,2020
06045,138,0.28,2020
06047,436,0.2,2020
06049,5,0.54,2020
06051,31,0.09,2020
06053,725,0.21,2020
06055,278,0.17,2020
06057,549,0.27,2020
06059,6546,0.26,2020
06061,1477,0.28,2020
06063,34,0.25,2020
06065,3231,0.19,2020
06067,6883,0.22,2020
06069,72,0.13,2020
06071,3300,0.21,2020
06073,10061,0.23,2020
06075,6037,0.21,2020
06077,1062,0.19,2020
06079,1011,0.24,2020
06081,3498,0.25,2020
06083,1010,0.23,2020
06085,6353,0.23,2020
06087,936,0.22,2020
06089,292,0.23,2020
06091,2,-0.35,2020
06093,60,0.27,2020
06095,1018,0.2,2020
06097,1504,0.22,2020
06099,783,0.21,2020
06101,107,0.36,2020
06103,53,0.34,2020
06105,15,0.22,2020
06107,494,0.22,2020
06109,46,0.19,2020
06111,1771,0.25,2020
06113,1208,0.23,2020
06115,167,0.27,2020
08001,1321,0.19,2020
08003,51,0.22,2020
08005,2212,0.2,2020
08007,17,0.24,2020
08009,1,0.22,2020
08011,2,0.13,2020
08013,1868,0.24,2020
08014,488,0.26,2020
08015,52,0.15,2020
08019,11,0.39,2020
08021,7,0.2,2020
08023,1,0.06,2020
08025,1,-0.3,2020
08027,3,0.49,2020
08029,22,0.21,2020
08031,4901,0.2,2020
08033,1,-0.24,2020
08035,1191,0.31,2020
08037,93,0.32,2020
08039,27,0.13,2020
08041,1825,0.25,2020
08043,97,0.26,2020
08045,101,0.25,2020
08047,10,0.26,2020
08049,38,0.31,2020
08051,95,0.29,2020
08053,1,0.53,2020
08055,2,0.23,2020
08059,2127,0.25,2020
08063,4,0.29,2020
08065,18,0.18,2020
08067,164,0.24,2020
08069,1355,0.25,2020
08071,3,0.1,2020
08073,3,0.29,2020
08075,13,0.09,2020
08077,249,0.32,2020
08079,2,0.55,2020
08081,5,-0.21,2020
08083,40,0.32,2020
08085,40,0.25,2020
08087,20,0.19,2020
08089,14,0.23,2020
08091,14,0.2,2020
08093,27,0.26,2020
08095,5,0.17,2020
08097,60,0.26,2020
08099,14,0.23,2020
08101,195,0.25,2020
08103,4,0.34,2020
08105,10,0.28,2020
08107,63,0.41,2020
08109,18,0.25,2020
08111,2,0.12,2020
08113,57,0.3,2020
08115,1,0.12,2020
08117,102,0.28,2020
08119,46,0.34,2020
08121,4,0.63,2020
08123,680,0.24,2020
08125,14,0.42,2020
09001,2837,0.29,2020
09003,2751,0.26,2020
09005,423,0.29,2020
09007,574,0.28,2020
09009,2538,0.24,2020
09011,876,0.3,2020
09013,581,0.29,2020
09015,228,0.33,2020
10001,475,0.21,2020
10003,2246,0.25,2020
10005,372,0.27,2020
11001,5613,0.2,2020
12001,1706,0.24,2020
12003,24,0.28,2020
12005,94,0.26,2020
12007,11,0.27,2020
12009,720,0.23,2020
12011,2388,0.23,2020
12013,3,0.42,2020
12015,95,0.42,2020
12017,76,0.4,2020
12019,231,0.28,2020
12021,320,0.28,2020
12023,40,0.43,2020
12027,8,0.4,2020
12029,1,0.57,2020
12031,1596,0.24,2020
12033,252,0.24,2020
12035,131,0.29,2020
12037,6,0.11,2020
12039,12,0.17,2020
12041,8,0.25,2020
12043,4,0.22,2020
12045,9,0.11,2020
12047,4,0.2,2020
12049,8,0.22,2020
12051,36,0.39,2020
12053,95,0.33,2020
12055,41,0.2,2020
12057,2936,0.25,2020
12059,9,0.27,2020
12061,205,0.32,2020
12063,11,0.14,2020
12065,5,0.68,2020
12067,6,0.15,2020
12069,290,0.26,2020
12071,695,0.31,2020
12073,686,0.2,2020
12075,14,0.24,2020
12077,2,0.7,2020
12079,3,0.19,2020
12081,358,0.3,2020
12083,203,0.27,2020
12085,141,0.33,2020
12086,2962,0.24,2020
12087,59,0.36,2020
12089,105,0.34,2020
12091,245,0.29,2020
12093,41,0.4,2020
12095,2925,0.23,2020
12097,459,0.2,2020
12099,1903,0.25,2020
12101,524,0.31,2020
12103,1759,0.27,2020
12105,581,0.27,2020
12107,41,0.2,2020
12109,465,0.3,2020
12111,576,0.26,2020
12113,148,0.33,2020
12115,409,0.32,2020
12117,774,0.28,2020
12119,61,0.45,2020
12121,27,0.4,2020
12123,8,0.41,2020
12125,6,0.61,2020
12127,550,0.26,2020
12129,28,0.19,2020
12131,30,0.46,2020
12133,9,0.39,2020
13001,9,0.21,2020
13003,6,0.15,2020
13005,13,0.39,2020
13007,2,-0.11,2020
13009,71,0.22,2020
13011,12,0.34,2020
13013,125,0.23,2020
13015,138,0.32,2020
13017,8,0.28,2020
13019,15,0.28,2020
13021,219,0.25,2020
13023,7,0.26,2020
13025,13,0.25,2020
13027,4,0.3,2020
13029,84,0.26,2020
13031,381,0.27,2020
13033,103,0.24,2020
13035,25,0.06,2020
13037,1,0.76,2020
13039,45,0.3,2020
13043,6,0.23,2020
13045,202,0.24,2020
13047,41,0.35,2020
13049,5,0.23,2020
13051,431,0.23,2020
13055,5,0.52,2020
13057,490,0.28,2020
13059,832,0.24,2020
13061,2,1.04,2020
13063,227,0.04,2020
13065,4,0.44,2020
13067,2044,0.21,2020
13069,41,0.16,2020
13071,21,0.22,2020
13073,210,0.26,2020
13075,8,0.07,2020
13077,246,0.26,2020
13079,1,0.18,2020
13081,5,0.54,2020
13083,7,0.19,2020
13085,24,0.43,2020
13087,14,0.41,2020
13089,2834,0.18,2020
13091,10,0.3,2020
13093,1,0.67,2020
13095,52,0.15,2020
13097,243,0.1,2020
13099,9,-0.19,2020
13103,80,0.29,2020
13105,12,0.21,2020
13107,13,0.5,2020
13109,4,0.18,2020
13111,18,0.27,2020
13113,379,0.26,2020
13115,91,0.37,2020
13117,385,0.33,2020
13119,35,0.38,2020
13121,4752,0.21,2020
13123,18,0.37,2020
13125,2,0.19,2020
13127,109,0.3,2020
13129,38,0.27,2020
13131,12,0.2,2020
13133,22,0.38,2020
13135,2057,0.19,2020
13137,45,0.33,2020
13139,248,0.27,2020
13141,9,0.15,2020
13143,24,0.42,2020
13145,39,0.29,2020
13147,13,0.37,2020
13149,6,0.18,2020
13151,404,0.12,2020
13153,195,0.16,2020
13155,6,0.2,2020
13157,122,0.3,2020
13159,4,0.31,2020
13161,7,0.52,2020
13163,7,0.13,2020
13165,2,0.62,2020
13167,5,0.42,2020
13169,24,0.42,2020
13171,23,0.24,2020
13173,10,0.3,2020
13175,29,0.36,2020
13177,25,0.35,2020
13179,72,0.11,2020
13181,1,1.33,2020
13183,9,0.33,2020
13185,109,0.27,2020
13187,54,0.47,2020
13189,12,0.21,2020
13191,9,0.28,2020
13193,6,0.55,2020
13195,31,0.26,2020
13197,2,0.22,2020
13199,7,0.18,2020
13201,2,0.18,2020
13205,15,-0.03,2020
13207,22,0.34,2020
13209,6,0.42,2020
13211,23,0.33,2020
13213,11,0.37,2020
13215,198,0.24,2020
13217,144,0.14,2020
13219,117,0.3,2020
13221,11,0.28,2020
13223,216,0.23,2020
13225,36,0.15,2020
13227,32,0.41,2020
13229,17,0.29,2020
13231,22,0.22,2020
13233,33,0.26,2020
13235,9,0.47,2020
13237,21,0.19,2020
13239,1,0.41,2020
