fips,count,avgScore,year
01001,23,0.49,2015
01003,46,0.32,2015
01005,6,0.09,2015
01007,1,0.36,2015
01009,2,0.32,2015
01013,3,0.42,2015
01015,51,0.36,2015
01017,13,0.15,2015
01019,1,0.01,2015
01021,1,0.16,2015
01023,1,-0.24,2015
01025,1,0.45,2015
01027,2,1.0,2015
01029,1,-0.1,2015
01031,17,0.29,2015
01033,2,-0.24,2015
01035,1,-0.22,2015
01039,3,0.55,2015
01041,4,0.16,2015
01043,7,0.39,2015
01045,19,0.17,2015
01047,7,-0.2,2015
01049,9,0.36,2015
01051,23,0.2,2015
01053,7,0.82,2015
01055,18,0.37,2015
01057,3,0.08,2015
01059,2,-0.14,2015
01061,2,-0.12,2015
01065,1,0.1,2015
01067,5,0.32,2015
01069,22,0.18,2015
01071,4,0.05,2015
01073,329,0.24,2015
01077,6,0.06,2015
01079,1,-0.29,2015
01081,125,0.33,2015
01083,19,0.33,2015
01085,1,0.78,2015
01087,4,-0.14,2015
01089,160,0.32,2015
01091,1,0.24,2015
01093,2,0.48,2015
01095,10,0.39,2015
01097,99,0.19,2015
01099,2,-0.03,2015
01101,124,0.2,2015
01103,22,0.27,2015
01107,1,1.07,2015
01109,15,0.34,2015
01111,2,-0.24,2015
01113,19,0.14,2015
01115,24,0.18,2015
01117,108,0.31,2015
01119,3,0.46,2015
01121,10,0.2,2015
01123,6,0.45,2015
01125,123,0.27,2015
01127,9,0.13,2015
01129,3,0.95,2015
01133,2,-0.55,2015
02013,3,0.42,2015
02016,3,0.05,2015
02020,131,0.31,2015
02050,4,0.13,2015
02060,1,0.07,2015
02070,1,0.12,2015
02090,43,0.32,2015
02110,18,0.2,2015
02122,17,0.17,2015
02130,7,0.41,2015
02150,4,0.4,2015
02170,25,0.27,2015
02185,2,-0.32,2015
02201,1,0.11,2015
02220,2,0.73,2015
02232,1,0.26,2015
02240,1,0.47,2015
02261,2,0.66,2015
02280,1,0.66,2015
02290,1,-0.04,2015
04001,20,0.22,2015
04003,22,0.21,2015
04005,118,0.25,2015
04007,5,0.52,2015
04009,3,0.58,2015
04011,2,0.72,2015
04013,2257,0.29,2015
04015,26,0.42,2015
04017,12,0.32,2015
04019,626,0.3,2015
04021,97,0.28,2015
04023,6,0.34,2015
04025,78,0.38,2015
04027,37,0.25,2015
05003,9,0.18,2015
05005,5,0.32,2015
05007,74,0.42,2015
05009,8,0.39,2015
05011,1,0.75,2015
05017,2,0.2,2015
05019,3,0.43,2015
05023,4,0.4,2015
05027,1,0.11,2015
05029,3,0.61,2015
05031,32,0.32,2015
05033,10,-0.08,2015
05035,14,0.08,2015
05037,3,0.11,2015
05043,2,0.23,2015
05045,95,0.22,2015
05047,1,-0.29,2015
05051,13,0.15,2015
05053,4,0.74,2015
05055,5,0.46,2015
05057,1,0.75,2015
05059,2,0.24,2015
05061,1,0.5,2015
05063,14,0.26,2015
05065,1,0.51,2015
05067,2,0.08,2015
05069,9,-0.09,2015
05071,8,0.25,2015
05077,2,0.48,2015
05079,1,0.89,2015
05083,1,0.39,2015
05085,23,0.27,2015
05089,1,0.41,2015
05091,4,0.22,2015
05093,4,0.42,2015
05095,2,0.04,2015
