CountyNo,sum,count,average
,36477.80497751878,166226,0.21944704785965363
001,6002.296668227817,27291,0.219936853476524
003,5583.05510471753,21926,0.2546317205471828
005,4003.9274569422196,16763,0.23885506514002383
006,2.872415306511946,11,0.26112866422835873
007,2088.003802300653,8318,0.2510223373768518
009,2627.501835699412,9880,0.2659414813460943
010,9.631262529707364,39,0.246955449479676
011,2292.184995972471,8737,0.2623537823019882
012,0.7148307654045893,5,0.14296615308091787
013,5927.034660180055,24332,0.2435901142602357
014,127.31509199754575,490,0.2598267183623383
015,1310.8492884384282,4549,0.2881620770363658
016,0.172983099264182,1,0.172983099264182
017,4876.129459041265,18562,0.2626941848422188
019,2574.489676936235,10299,0.2499747234621065
020,131.65936578557188,579,0.22739095990599634
021,2544.7673169227846,9439,0.2696013684630559
023,1269.0453340671475,4783,0.2653241342394203
025,4062.995123905245,15630,0.25994850440852496
027,2601.4961848227404,9565,0.27198078252198016
028,5.911720566993608,34,0.17387413432334142
029,2603.0619523308046,9902,0.2628824431762073
030,2.344442191323446,20,0.1172221095661723
031,7256.722692429383,32232,0.22514031684131866
033,3722.137464671366,18955,0.19636705168406046
035,3286.5773511037196,12867,0.25542685560765677
036,-1.9017412664578837,7,-0.27167732377969767
037,6708.5288212869,32307,0.20764938933627078
039,1215.5938321742049,4967,0.24473401090682603
041,2053.2561601802286,7739,0.26531285181292524
043,1690.425910660847,5879,0.28753630050363105
045,1626.2924646315967,6037,0.26938752105873726
047,2189.297849954255,11150,0.19634958295553856
049,2952.324796392798,11776,0.250706929041508
050,3.3093179958278713,16,0.20683237473924196
051,1753.0654447084921,8557,0.20486916497703542
053,2740.477390025691,11367,0.24109064749060358
054,0.08157192906814299,3,0.02719064302271433
055,2147.2216820078415,7856,0.2733225155305297
057,2149.8830614505114,8093,0.26564723359082065
059,4617.443069223659,17627,0.2619528603405945
060,0.904655470768193,1,0.904655470768193
061,4668.189337652345,19106,0.244331065510957
063,1635.3077812636488,7007,0.23338201530807035
065,1328.7138472124143,6152,0.21598079441034043
067,3894.9837349488826,16985,0.22931903061223918
068,1.3653002363341527,8,0.17066252954176908
069,803.990247756235,3133,0.25661993225542135
070,1.062156364396944,11,0.09655966949063127
071,2209.3824894676313,9387,0.23536619681129556
073,3556.243690808248,14933,0.23814663435399774
075,1715.9053363445125,7566,0.22679161199372358
077,1335.0322758698373,5138,0.2598350089275666
078,-0.4430890861156447,2,-0.22154454305782234
079,1548.2915316455212,6910,0.2240653446665009
081,3102.777488497504,12837,0.24170581043059156
083,697.7821848517142,2674,0.26095070488097016
085,2649.960041531605,10717,0.24726696291234534
086,719.1330513373181,2987,0.24075428568373555
087,948.4168306367488,3534,0.2683692220251129
089,1677.3185574883382,7115,0.2357439996469906
090,31.978840035005277,162,0.1974002471296622
091,2303.653908125507,7748,0.29732239392430393
093,1101.6839961538437,4152,0.26533814936267913
095,2083.3964542841936,8857,0.2352259742897362
097,2385.8613600319054,9827,0.24278633967964847
099,1566.2012633948766,5805,0.26980211255725695
100,4.649079925298153,9,0.5165644361442392
101,1907.7728129113584,8715,0.2189068058418082
103,2012.0791099280052,7088,0.28387120625395107
105,688.1298738218132,2597,0.26497107193754843
107,626.1426104635154,2468,0.25370446128991714
109,1544.327827117906,5620,0.2747914283127947
110,28.67954583363226,90,0.3186616203736918
111,2071.210471063384,8221,0.2519414269630682
113,2384.937336821828,9830,0.24261824382724598
115,528.2420039094147,1671,0.3161232818129352
117,946.1395255091358,3134,0.30189519001567827
119,2253.1085294620207,9099,0.2476215550568217
121,1727.9256216630927,7580,0.22795852528536842
122,14.76367163781087,57,0.2590117831194889
123,975.0667861368372,3887,0.2508533023248874
125,1323.0256661499468,4815,0.27477168559708137
127,495.2437949244299,1801,0.27498267347275396
129,391.78514385504485,1350,0.2902112176704036
130,2.677870419506878,13,0.20599003226975984
131,340.2922063334703,1137,0.29928953943137226
133,1020.0809403135187,3311,0.30808847487572294
135,832.418992523285,3964,0.20999470043473387
137,386.8148884627392,1279,0.3024354092750111
139,864.1275539583022,2839,0.30437744063342803
141,610.053007588271,2316,0.26340803436453847
143,750.0519917726306,2821,0.2658815993522264
145,417.09268186266763,1364,0.30578642365298214
147,389.7053143688912,1442,0.2702533386746818
149,197.70016059157635,724,0.273066520154111
150,0.060064045901682794,8,0.007508005737710349
151,388.8602980560461,1514,0.2568429973950106
153,1492.8057132114552,5546,0.2691679973334755
155,223.99259290542315,700,0.3199894184363188
157,931.5363131094234,4002,0.23276769443014078
159,163.45240191122554,513,0.31862066649361703
161,778.1934285610143,3087,0.2520872784454209
163,1443.220148394553,5882,0.24536214695589137
164,-0.523223494435308,3,-0.174407831478436
165,451.2293540261508,1486,0.3036536702733182
167,422.3835824946582,1606,0.2630034760240711
169,454.8032070725646,1478,0.30771529571892053
170,20.33056060492477,74,0.27473730547195635
171,161.84476428123304,532,0.30421948173164104
173,346.6633406865621,1360,0.2548995152107074
175,53.286184092900406,199,0.26776976931105734
177,227.90695929383293,880,0.2589851810157192
179,371.8109987942039,1384,0.2686495656027485
180,1.1090028938086005,4,0.2772507234521501
181,128.01181599052057,382,0.3351094659437711
183,1387.2727164122316,5186,0.26750341619981327
185,179.76612543265023,566,0.31760799546404633
186,2.6970755220939022,16,0.1685672201308689
187,302.06301769523037,978,0.30885789130391655
188,1.2657975398363082,2,0.6328987699181541
189,856.5691967480946,3413,0.25097251589454866
191,74.02354126730404,279,0.2653173522125593
193,122.67254674723375,387,0.3169833249282526
195,63.88231519718378,252,0.2535012507824753
