fips,count,avgScore,year
01001,15,0.4,2018
01003,100,0.34,2018
01005,6,0.12,2018
01007,2,0.24,2018
01009,10,0.5,2018
01011,3,-0.12,2018
01013,1,0.64,2018
01015,91,0.36,2018
01017,7,0.44,2018
01019,6,0.31,2018
01021,12,0.31,2018
01023,1,0.42,2018
01025,5,0.08,2018
01027,2,0.42,2018
01029,3,0.56,2018
01031,19,0.25,2018
01033,9,0.57,2018
01035,1,-0.17,2018
01039,10,-0.1,2018
01041,3,0.67,2018
01043,22,0.4,2018
01045,16,0.35,2018
01047,1,-0.09,2018
01049,9,0.14,2018
01051,20,0.45,2018
01053,5,0.32,2018
01055,29,0.24,2018
01061,6,0.46,2018
01063,1,-0.44,2018
01065,4,-0.24,2018
01067,8,0.62,2018
01069,52,0.23,2018
01071,6,0.21,2018
01073,721,0.25,2018
01077,35,0.29,2018
01079,2,0.54,2018
01081,346,0.3,2018
01083,32,0.51,2018
01085,1,0.72,2018
01087,12,0.07,2018
01089,182,0.24,2018
01091,5,-0.11,2018
01093,1,1.08,2018
01095,33,0.41,2018
01097,217,0.19,2018
01099,4,0.3,2018
01101,116,0.19,2018
01103,18,0.27,2018
01109,39,0.28,2018
01111,62,0.36,2018
01113,35,0.29,2018
01115,44,0.42,2018
01117,189,0.32,2018
01119,4,0.34,2018
01121,10,0.2,2018
01123,12,0.14,2018
01125,246,0.29,2018
01127,23,0.29,2018
01129,4,0.7,2018
01131,2,0.84,2018
01133,3,0.59,2018
02020,272,0.26,2018
02050,13,-0.01,2018
02060,1,-0.17,2018
02068,2,0.45,2018
02090,68,0.41,2018
02110,25,0.23,2018
02122,18,0.15,2018
02130,5,0.29,2018
02150,8,0.49,2018
02164,2,0.43,2018
02170,44,0.36,2018
02180,3,0.05,2018
02185,5,0.17,2018
02188,1,0.87,2018
02201,1,0.07,2018
02220,2,-0.46,2018
02232,3,0.38,2018
02240,2,0.15,2018
02261,5,0.41,2018
02270,1,-0.35,2018
02280,5,0.16,2018
02290,11,0.08,2018
04001,12,0.17,2018
04003,74,0.24,2018
04005,199,0.2,2018
