metroNo,sum,count,avgScore
00000,54.769508445429864,351,0.15603848559951528
10180,48.85366847091661,213,0.22935994587284794
10380,2.1168188873339875,17,0.12451875807846985
10420,589.124892386991,2001,0.29441523857420837
10500,15.854243492297854,94,0.1686621648116793
10580,720.402320240392,2522,0.2856472324505916
10740,441.478493131824,2012,0.21942271030408747
10780,35.212332110736185,118,0.2984095941587812
10900,415.53873559660207,1493,0.278324672201341
11020,32.095313210908024,96,0.3343261792802919
11100,65.76270284610287,258,0.2548941970779181
11180,203.92899330452386,744,0.274098109280274
11260,150.68405014532973,649,0.23217881378325075
11300,58.09148465542041,200,0.29045742327710206
11340,44.87740567406929,154,0.2914117251562941
11460,545.2943672040249,2239,0.24354371022957788
11500,23.242614375907497,101,0.23012489481096532
11540,187.0794210101805,579,0.3231078083077384
11700,383.48154873963585,1456,0.2633801845739257
12020,244.85393219362115,1004,0.24387841851954298
12060,3117.626266585642,15433,0.20201038466828497
12100,75.08765356299205,244,0.3077362850942297
12220,164.2181461725174,563,0.2916840962211677
12260,173.69412405613411,725,0.23957810214639189
12420,1790.7444621954473,7961,0.2249396385121778
12540,256.78778995700867,1184,0.21688157935558164
12580,2859.198522908397,11113,0.25728412875986656
12620,83.96277255532178,301,0.2789460882236604
12700,169.6398958320977,568,0.2986617884367917
12940,219.88988413640013,1013,0.2170680001346497
12980,117.07201342935285,417,0.280748233643532
13020,58.034483427096106,148,0.39212488802091966
13140,39.01446275986609,147,0.2654045085705176
13380,270.7093271376441,1103,0.24543003366966826
13460,114.17641602238932,537,0.21261902425025944
13740,50.550574054559235,172,0.29389868636371647
13780,116.97042370956943,429,0.27265833032533665
13820,519.0155528566163,2116,0.24528145220066933
13900,52.91250202730051,197,0.26859138084924117
13980,124.46792057794606,554,0.22467133678329615
14020,242.71699021056557,996,0.24369175723952366
14060,133.511887574332,518,0.25774495670720465
14260,410.94642453638403,1616,0.2542985300348911
14460,6149.725211919773,24319,0.2528773885406379
14500,453.0792919384539,1883,0.24061566220841948
14540,52.35136920072099,242,0.21632797190380573
14740,171.6572452065548,703,0.2441781581885559
14860,823.482741593211,2869,0.28702779421164554
15180,77.23011061438599,315,0.24517495433138412
15260,36.738758445189056,132,0.27832392761506863
15380,690.7571260456012,2449,0.28205680932854277
15500,112.5500102438074,396,0.2842171975853722
15540,450.89721826667704,1706,0.2643008313403734
15940,233.17356077670695,733,0.31810854130519367
15980,214.98280405165224,708,0.3036480283215427
16020,36.83125919896439,135,0.27282414221455104
16180,18.428628681341625,62,0.297235946473252
16220,10.700209142785294,47,0.22766402431458072
16300,182.56584215815724,640,0.2852591283721207
16580,192.3095052404874,743,0.25882840543807184
16620,143.33183393083328,441,0.32501549644179883
16700,412.62709456866526,1800,0.2292372747603696
16740,1528.5380786600308,6172,0.24765685007453514
16820,292.7972461076007,1269,0.23073069039212032
16860,187.32352168268332,755,0.24811062474527593
16940,42.74242922662407,159,0.26882030960140924
16980,6565.367882456762,26539,0.24738565441262905
17020,119.78588163933118,548,0.21858737525425398
17140,2165.186887856428,7686,0.28170529376222064
17300,88.34148601129435,393,0.2247874962119449
17420,26.584897713733213,91,0.2921417331179474
17460,1393.9442384476824,5360,0.2600642235909855
17660,55.84752821256423,181,0.3085498796274267
17780,193.9238730362545,734,0.2642014619022541
17820,475.54662179674676,1894,0.2510805817300669
17860,205.8995109986882,818,0.2517108936414281
17900,411.53465401079865,1726,0.23843259212676632
17980,65.4101178405853,283,0.23113115844729787
18020,58.535243459637286,198,0.2956325427254408
18140,2260.99120141225,8981,0.2517527225712337
18580,55.43071261821759,211,0.262704799138472
18700,172.0024675582759,658,0.26140192638035853
19060,33.82863242359663,84,0.40272181456662653
19100,2818.8090130771516,12155,0.23190530753411367
19140,22.1869974226378,100,0.221869974226378
19180,12.308603008804976,51,0.2413451570353917
19260,44.5853683120914,167,0.26697825336581676
19340,186.7306835721329,676,0.2762288218522676
19380,505.57784551613554,2047,0.24698478041823915
19460,25.716164443553176,86,0.29902516794829276
19500,44.38858506155919,181,0.2452408014450784
19660,142.92552526714502,558,0.2561389341705108
19740,2730.476136985123,12414,0.21995135629008564
19780,856.4462387772919,3003,0.28519688270972093
19820,2192.00541516184,8470,0.2587963890391783
20020,28.98469757276014,110,0.2634972506614558
20100,97.83058203582465,482,0.20296801252245777
20220,95.04120002316834,310,0.30658451620376886
20260,310.25165044326724,1025,0.3026845370178217
20500,696.2187476562232,3453,0.20162720754596675
20740,122.94306195284341,448,0.2744264775733112
20940,41.23649454883377,141,0.2924574081477572
21060,38.562827062259736,149,0.2588109198809378
21140,85.81922847305621,309,0.27773213098076444
21300,28.212056137420877,93,0.3033554423378589
21340,182.8550238426159,770,0.2374740569384622
21500,154.19133984257934,459,0.33592884497293973
21660,273.4199269341192,1438,0.19013903124764894
21780,183.78297249165695,645,0.28493484107233635
21820,31.978840035005277,162,0.1974002471296622
21940,2.379622500603793,6,0.39660375010063215
22020,200.47943695712976,680,0.2948227014075438
22140,13.666964191333248,47,0.29078647215602654
22180,93.14647151899484,546,0.17059793318497224
22220,454.6168976988303,1720,0.26431214982490137
22380,94.19080302526982,396,0.2378555631951258
22420,164.77616320395413,648,0.25428420247523786
22500,23.345467612076877,112,0.20844167510782927
22520,25.414023824133025,83,0.30619305812208464
22540,83.35485632879777,216,0.38590211263332297
22660,338.29336525241666,1369,0.2471098358308376
22900,82.56472673870665,300,0.27521575579568885
23020,73.2916926370401,250,0.2931667705481604
23060,205.66322357630364,757,0.2716819333900973
23420,444.18255526664245,2065,0.21510051102500846
