fips,count,avgScore,year
01001,28,0.29,2022
01003,194,0.26,2022
01005,2,0.25,2022
01007,11,0.19,2022
01009,17,0.16,2022
01011,1,0.49,2022
01013,6,0.18,2022
01015,96,0.23,2022
01017,19,0.23,2022
01019,4,0.48,2022
01021,18,0.32,2022
01023,2,0.35,2022
01025,17,0.09,2022
01027,3,0.32,2022
01029,5,0.34,2022
01031,23,0.3,2022
01033,17,0.41,2022
01035,4,-0.22,2022
01037,2,0.67,2022
01039,12,0.23,2022
01041,3,0.34,2022
01043,27,0.32,2022
01045,21,0.25,2022
01047,22,-0.04,2022
01049,14,0.23,2022
01051,44,0.27,2022
01053,8,0.24,2022
01055,36,0.21,2022
01057,3,0.01,2022
01059,14,0.22,2022
01061,8,0.15,2022
01065,7,-0.09,2022
01067,7,0.4,2022
01069,73,0.21,2022
01071,22,0.25,2022
01073,883,0.2,2022
01075,1,1.09,2022
01077,61,0.3,2022
01079,6,0.44,2022
01081,365,0.25,2022
01083,83,0.25,2022
01085,3,-0.36,2022
01087,5,-0.15,2022
01089,246,0.21,2022
01091,6,0.15,2022
01093,13,0.26,2022
01095,52,0.33,2022
01097,545,0.18,2022
01099,10,0.32,2022
01101,170,0.07,2022
01103,54,0.3,2022
01105,4,-0.06,2022
01107,10,0.22,2022
01109,20,0.2,2022
01111,5,-0.09,2022
01113,28,0.28,2022
01115,42,0.27,2022
01117,227,0.26,2022
01119,6,-0.01,2022
01121,34,-0.06,2022
01123,5,0.65,2022
01125,271,0.17,2022
01127,22,0.2,2022
01129,11,0.17,2022
01131,3,-0.4,2022
01133,9,0.6,2022
02013,1,0.97,2022
02020,266,0.26,2022
02050,20,0.29,2022
02060,4,0.5,2022
02068,2,0.4,2022
02070,2,0.62,2022
02090,134,0.2,2022
02100,1,0.58,2022
02110,24,0.27,2022
02122,20,0.21,2022
02130,9,0.14,2022
02150,6,0.18,2022
02164,3,0.15,2022
02170,72,0.26,2022
02180,7,0.2,2022
02185,2,0.52,2022
02201,3,0.46,2022
02220,6,0.02,2022
02232,1,0.45,2022
02261,4,0.46,2022
02270,1,0.08,2022
02280,7,0.2,2022
02282,1,0.52,2022
02290,1,-0.14,2022
04001,11,0.22,2022
04003,56,0.24,2022
04005,213,0.26,2022
04007,8,0.16,2022
04009,10,0.31,2022
04011,6,0.13,2022
04012,6,0.38,2022
04013,3988,0.23,2022
04015,61,0.28,2022
04017,32,0.37,2022
04019,1038,0.22,2022
04021,153,0.21,2022
04023,19,0.34,2022
