fips,count,avgScore,year
01001,9,0.48,2011
01003,69,0.33,2011
01005,4,-0.2,2011
01007,3,0.38,2011
01009,5,0.43,2011
01011,3,-0.4,2011
01013,8,-0.15,2011
01015,43,0.26,2011
01017,20,-0.1,2011
01019,1,0.17,2011
01021,3,0.73,2011
01025,3,0.5,2011
01029,1,0.38,2011
01031,27,0.33,2011
01033,5,0.21,2011
01035,2,0.02,2011
01039,17,0.27,2011
01041,13,0.12,2011
01043,5,0.58,2011
01045,36,0.33,2011
01047,7,0.18,2011
01049,5,0.29,2011
01051,15,0.36,2011
01053,10,0.13,2011
01055,16,0.34,2011
01057,2,0.15,2011
01059,10,0.64,2011
01061,15,0.47,2011
01063,1,-0.04,2011
01065,3,0.18,2011
01067,12,0.06,2011
01069,64,0.23,2011
01071,8,0.3,2011
01073,221,0.23,2011
01075,1,1.1,2011
01077,15,0.32,2011
01079,3,0.85,2011
01081,216,0.37,2011
01083,11,0.48,2011
01085,3,0.25,2011
01087,4,0.01,2011
01089,87,0.21,2011
01091,2,-0.09,2011
01093,3,0.23,2011
01095,8,0.54,2011
01097,152,0.19,2011
01099,7,0.04,2011
01101,107,-0.01,2011
01103,23,0.37,2011
01105,4,-0.19,2011
01107,5,0.55,2011
01109,107,0.32,2011
01111,41,-0.01,2011
01113,25,0.25,2011
01115,17,0.46,2011
01117,72,0.38,2011
01119,7,0.3,2011
01121,18,0.18,2011
01123,9,0.31,2011
01125,150,0.31,2011
01127,6,0.52,2011
01129,3,-0.12,2011
01133,4,0.38,2011
02020,107,0.38,2011
02050,3,0.75,2011
02090,44,0.39,2011
02100,2,0.18,2011
02110,32,0.34,2011
02122,15,0.29,2011
02130,2,0.7,2011
02150,2,0.44,2011
02170,19,0.14,2011
02180,1,0.23,2011
02185,1,-0.44,2011
02220,3,0.36,2011
02240,2,0.46,2011
02261,2,-0.14,2011
02280,4,0.25,2011
02290,2,0.09,2011
04001,7,0.25,2011
04003,42,0.41,2011
04005,133,0.32,2011
04007,11,0.47,2011
04009,1,0.29,2011
04012,2,0.63,2011
04013,1616,0.34,2011
04015,70,0.45,2011
04017,65,0.22,2011
04019,487,0.35,2011
04021,167,0.39,2011
04023,6,0.42,2011
04025,77,0.44,2011
04027,32,0.38,2011
05001,1,0.44,2011
05003,2,0.54,2011
05005,10,0.53,2011
05007,63,0.36,2011
05009,11,0.37,2011
05015,4,-0.02,2011
05017,4,0.2,2011
05019,24,0.45,2011
05021,1,0.07,2011
05023,9,0.48,2011
05025,1,0.83,2011
05027,5,-0.02,2011
05029,8,0.3,2011
05031,61,0.33,2011
05033,9,0.41,2011
05035,15,0.08,2011
05037,7,0.28,2011
05039,1,-0.12,2011
05041,2,0.06,2011
05043,4,0.03,2011
05045,150,0.25,2011
05047,1,0.77,2011
05049,2,0.66,2011
05051,16,0.26,2011
05053,2,0.86,2011
05055,12,0.43,2011
05057,3,0.19,2011
05059,4,0.29,2011
05063,3,0.21,2011
05065,3,0.18,2011
05067,2,0.36,2011
05069,18,0.01,2011
05071,6,0.46,2011
05075,9,0.43,2011
05077,3,-0.32,2011
05079,3,0.34,2011
05081,2,0.19,2011
05083,1,0.14,2011
05085,31,0.33,2011
05087,1,-0.1,2011
05089,5,0.51,2011
05091,8,0.36,2011
05093,16,0.24,2011
05095,1,1.0,2011
05097,1,0.84,2011
05099,1,-0.05,2011
05103,2,-0.1,2011
05105,2,0.56,2011
05107,23,0.03,2011
05111,5,0.28,2011
05115,12,0.45,2011
05117,2,0.89,2011
05119,226,0.21,2011
05121,6,0.51,2011
05123,5,0.04,2011
05125,30,0.42,2011
05131,30,0.31,2011
05135,3,0.46,2011
05137,6,0.32,2011
05139,8,0.2,2011
05141,4,0.15,2011
05143,179,0.41,2011
05145,28,0.37,2011
05147,2,-0.07,2011
05149,5,0.43,2011
06001,1634,0.29,2011
06005,5,0.53,2011
06007,148,0.28,2011
06009,13,0.37,2011
06011,2,0.1,2011
06013,551,0.36,2011
06015,21,0.45,2011
06017,56,0.42,2011
06019,380,0.33,2011
06021,5,0.25,2011
06023,34,0.34,2011
06025,33,0.37,2011
06027,3,0.37,2011
06029,171,0.39,2011
06031,41,0.24,2011
06033,17,0.34,2011
06035,6,0.52,2011
06037,3916,0.31,2011
06039,50,0.42,2011
06041,231,0.29,2011
06043,5,0.55,2011
06045,57,0.4,2011
06047,129,0.23,2011
06049,2,0.6,2011
06051,1,0.55,2011
06053,131,0.32,2011
06055,30,0.38,2011
06057,29,0.46,2011
06059,1307,0.36,2011
06061,185,0.27,2011
06063,5,0.38,2011
06065,782,0.3,2011
06067,887,0.31,2011
06069,18,0.23,2011
06071,908,0.31,2011
06073,1470,0.35,2011
06075,818,0.34,2011
06077,256,0.31,2011
06079,776,0.37,2011
06081,628,0.34,2011
06083,333,0.37,2011
06085,1438,0.34,2011
06087,146,0.33,2011
06089,132,0.44,2011
06093,12,0.16,2011
06095,160,0.25,2011
06097,220,0.33,2011
06099,98,0.39,2011
06101,27,0.56,2011
06103,16,0.4,2011
06105,3,0.37,2011
06107,71,0.37,2011
06109,8,0.44,2011
06111,307,0.36,2011
06113,177,0.35,2011
06115,41,0.4,2011
08001,213,0.33,2011
08003,6,0.39,2011
08005,462,0.29,2011
08007,1,0.92,2011
08009,1,0.27,2011
08013,449,0.34,2011
08014,45,0.34,2011
08015,4,0.72,2011
08019,1,0.16,2011
08021,2,0.29,2011
08023,1,0.44,2011
08025,4,0.13,2011
08029,6,0.45,2011
08031,706,0.28,2011
08035,202,0.35,2011
08037,5,0.5,2011
08039,4,0.51,2011
08041,375,0.35,2011
08043,13,0.16,2011
08045,20,0.39,2011
08049,4,0.52,2011
08051,4,0.42,2011
08055,3,0.32,2011
08059,407,0.35,2011
08061,1,0.51,2011
08063,3,0.65,2011
08065,2,-0.17,2011
08067,34,0.37,2011
08069,423,0.38,2011
08075,1,0.69,2011
08077,34,0.43,2011
08081,8,0.22,2011
08083,8,0.38,2011
08085,5,0.73,2011
08087,7,0.35,2011
08089,7,0.22,2011
08091,1,0.73,2011
08093,1,0.59,2011
08097,2,0.24,2011
08099,6,0.54,2011
08101,24,0.39,2011
08105,2,0.16,2011
08107,34,0.35,2011
08109,1,-0.07,2011
08113,1,0.19,2011
08117,5,0.04,2011
08119,5,0.55,2011
08123,477,0.32,2011
08125,10,0.27,2011
09001,548,0.36,2011
09003,727,0.37,2011
09005,64,0.41,2011
09007,114,0.32,2011
09009,515,0.35,2011
09011,315,0.37,2011
09013,250,0.4,2011
09015,62,0.31,2011
10001,76,0.36,2011
10003,535,0.38,2011
10005,34,0.4,2011
11001,1167,0.3,2011
12001,480,0.36,2011
12003,5,0.26,2011
12005,30,0.35,2011
12007,10,0.24,2011
12009,243,0.36,2011
12011,562,0.33,2011
12013,2,0.55,2011
12015,31,0.43,2011
12017,38,0.48,2011
12019,115,0.4,2011
12021,41,0.33,2011
12023,18,0.34,2011
12027,2,0.18,2011
12029,1,0.37,2011
12031,418,0.3,2011
12033,69,0.2,2011
12035,24,0.28,2011
12037,1,1.3,2011
12039,21,-0.01,2011
12041,8,0.47,2011
12043,3,-0.0,2011
12045,5,0.01,2011
12047,2,0.76,2011
12049,2,0.1,2011
12051,6,0.03,2011
12053,39,0.43,2011
12055,27,0.52,2011
12057,782,0.33,2011
12059,5,0.18,2011
12061,23,0.41,2011
12063,10,0.07,2011
12065,3,0.16,2011
12067,4,-0.01,2011
12069,67,0.43,2011
12071,159,0.37,2011
12073,379,0.37,2011
12075,13,0.49,2011
12077,2,0.18,2011
12079,5,0.05,2011
12081,92,0.34,2011
12083,124,0.36,2011
12085,29,0.35,2011
12086,920,0.36,2011
12087,28,0.07,2011
12089,28,0.33,2011
12091,50,0.46,2011
12093,6,0.47,2011
12095,714,0.32,2011
12097,89,0.34,2011
12099,262,0.39,2011
12101,119,0.41,2011
12103,650,0.4,2011
12105,229,0.28,2011
12107,17,0.26,2011
12109,99,0.46,2011
12111,65,0.31,2011
12113,32,0.34,2011
12115,64,0.36,2011
12117,186,0.36,2011
12119,6,-0.04,2011
12121,6,0.27,2011
12123,19,0.17,2011
12125,9,0.35,2011
12127,216,0.29,2011
12129,9,0.08,2011
12131,8,0.12,2011
12133,3,0.16,2011
13001,4,0.01,2011
13003,2,0.55,2011
13007,1,1.07,2011
13009,34,0.28,2011
13011,5,0.57,2011
13013,21,0.18,2011
13015,24,0.39,2011
13017,4,-0.05,2011
13019,11,0.13,2011
13021,66,0.16,2011
13025,4,0.51,2011
13027,2,0.68,2011
13029,12,0.32,2011
13031,83,0.23,2011
13033,35,0.32,2011
13035,6,0.45,2011
13037,3,0.22,2011
13039,14,0.51,2011
13043,1,0.23,2011
13045,52,0.41,2011
13047,21,0.48,2011
13049,3,0.54,2011
13051,102,0.22,2011
13053,1,1.08,2011
13055,1,-0.84,2011
13057,72,0.43,2011
13059,341,0.39,2011
13061,1,-0.41,2011
13063,124,-0.07,2011
13065,4,-0.19,2011
13067,504,0.24,2011
13069,6,0.33,2011
13071,8,0.2,2011
13073,47,0.21,2011
13075,1,-0.81,2011
