fips,count,avgScore,year
01001,6,0.06,2023
01003,45,0.23,2023
01007,1,-0.11,2023
01009,5,0.47,2023
01011,1,0.14,2023
01013,2,0.4,2023
01015,21,0.29,2023
01017,3,0.02,2023
01019,3,0.35,2023
01021,1,-0.48,2023
01025,1,-0.28,2023
01031,3,0.55,2023
01033,1,1.06,2023
01035,1,0.0,2023
01043,8,0.39,2023
01045,5,0.51,2023
01047,3,0.16,2023
01049,7,0.34,2023
01051,5,0.52,2023
01053,1,-0.65,2023
01055,14,0.16,2023
01057,2,-0.28,2023
01059,1,0.86,2023
01061,3,-0.07,2023
01065,1,0.37,2023
01067,3,-0.09,2023
01069,6,0.09,2023
01071,3,0.53,2023
01073,189,0.23,2023
01075,2,0.38,2023
01077,5,0.31,2023
01079,1,0.29,2023
01081,88,0.3,2023
01083,10,0.06,2023
01085,1,0.79,2023
01089,42,0.21,2023
01091,3,-0.09,2023
01095,10,0.35,2023
01097,95,0.26,2023
01099,1,0.0,2023
01101,36,0.07,2023
01103,7,0.1,2023
01105,2,0.24,2023
01109,4,0.28,2023
01111,1,0.96,2023
01113,5,0.23,2023
01115,9,0.14,2023
01117,59,0.21,2023
01119,1,-0.68,2023
01121,4,0.54,2023
01123,11,0.23,2023
01125,70,0.19,2023
01127,5,0.06,2023
01131,1,0.3,2023
01133,2,0.6,2023
02020,48,0.24,2023
02050,2,0.33,2023
02068,1,-0.6,2023
02090,27,0.23,2023
02110,9,0.29,2023
02122,4,0.52,2023
02130,3,0.35,2023
02150,3,0.56,2023
02170,12,0.25,2023
02180,3,0.53,2023
02201,3,0.47,2023
02220,2,-0.26,2023
02232,1,0.34,2023
02240,1,-0.43,2023
02280,3,0.57,2023
04001,2,0.28,2023
04003,8,0.02,2023
04005,48,0.27,2023
04007,1,0.3,2023
04013,763,0.25,2023
04015,7,0.39,2023
04017,6,-0.01,2023
04019,178,0.17,2023
04021,34,0.24,2023
04023,13,0.07,2023
04025,26,0.2,2023
04027,33,0.16,2023
