stateAbb,count,avgScore,stateName,year
AA,1,-0.05,,2023
AE,19,0.11,,2023
AK,122,0.26,Alaska,2023
AL,820,0.23,Alabama,2023
AP,7,0.27,,2023
AR,621,0.26,Arkansas,2023
AZ,1119,0.23,Arizona,2023
CA,10312,0.21,California,2023
CO,2231,0.21,Colorado,2023
CT,985,0.27,Connecticut,2023
DC,375,0.14,District of Columbia,2023
DE,411,0.23,Delaware,2023
FL,2762,0.25,Florida,2023
GA,2489,0.19,Georgia,2023
GU,3,0.17,,2023
HI,150,0.17,Hawaii,2023
IA,1107,0.29,Iowa,2023
ID,385,0.24,Idaho,2023
IL,4449,0.26,Illinois,2023
IN,2467,0.28,Indiana,2023
KS,641,0.24,Kansas,2023
KY,1250,0.27,Kentucky,2023
LA,557,0.18,Louisiana,2023
MA,2480,0.25,Massachusetts,2023
MD,1928,0.17,Maryland,2023
ME,366,0.28,Maine,2023
MI,2945,0.27,Michigan,2023
MN,2047,0.28,Minnesota,2023
MO,1329,0.25,Missouri,2023
MP,1,0.23,,2023
MS,357,0.2,Mississippi,2023
MT,161,0.22,Montana,2023
NC,3223,0.22,North Carolina,2023
ND,188,0.34,North Dakota,2023
NE,693,0.29,Nebraska,2023
NH,456,0.31,New Hampshire,2023
NJ,1822,0.25,New Jersey,2023
NM,342,0.21,New Mexico,2023
NV,559,0.19,Nevada,2023
NY,4905,0.25,New York,2023
OH,3239,0.25,Ohio,2023
OK,630,0.26,Oklahoma,2023
OR,1374,0.21,Oregon,2023
PA,3656,0.26,Pennsylvania,2023
PR,22,0.18,,2023
RI,445,0.24,Rhode Island,2023
SC,876,0.2,South Carolina,2023
SD,173,0.33,South Dakota,2023
TN,1022,0.24,Tennessee,2023
TX,4230,0.22,Texas,2023
UT,1161,0.27,Utah,2023
VA,1872,0.23,Virginia,2023
VI,4,0.25,,2023
VT,306,0.27,Vermont,2023
WA,2986,0.22,Washington,2023
WI,2087,0.3,Wisconsin,2023
WV,213,0.28,West Virginia,2023
WY,96,0.23,Wyoming,2023
