fips,count,avgScore,year
01001,7,0.51,2012
01003,39,0.44,2012
01005,6,0.25,2012
01007,2,0.46,2012
01009,1,0.81,2012
01013,1,0.47,2012
01015,41,0.19,2012
01017,7,0.12,2012
01019,2,0.78,2012
01021,2,0.2,2012
01023,2,-0.15,2012
01025,6,0.42,2012
01029,6,0.34,2012
01031,18,0.26,2012
01033,4,0.22,2012
01035,1,-0.52,2012
01039,3,0.63,2012
01041,5,0.66,2012
01043,9,0.32,2012
01045,19,0.34,2012
01047,10,0.13,2012
01049,7,0.4,2012
01051,12,0.19,2012
01053,4,-0.03,2012
01055,24,0.22,2012
01059,3,0.17,2012
01061,7,0.26,2012
01065,5,-0.31,2012
01067,5,0.12,2012
01069,43,0.2,2012
01071,5,-0.09,2012
01073,189,0.3,2012
01077,25,0.37,2012
01079,2,-0.03,2012
01081,111,0.31,2012
01083,8,-0.02,2012
01087,1,0.5,2012
01089,86,0.29,2012
01091,2,-0.31,2012
01093,1,0.08,2012
01095,14,0.6,2012
01097,88,0.37,2012
01099,1,0.47,2012
01101,63,0.16,2012
01103,5,0.34,2012
01105,1,0.24,2012
01107,2,-0.08,2012
01109,54,0.33,2012
01111,13,0.18,2012
01113,14,0.38,2012
01115,10,0.52,2012
01117,63,0.4,2012
01121,10,0.18,2012
01123,4,0.13,2012
01125,120,0.36,2012
01127,14,0.38,2012
01129,4,0.5,2012
01133,1,0.99,2012
02020,119,0.39,2012
02050,11,0.41,2012
02060,1,0.88,2012
02070,2,0.72,2012
02090,27,0.22,2012
02110,2,-0.12,2012
02122,7,0.4,2012
02130,2,0.49,2012
02150,2,0.36,2012
02170,38,0.4,2012
02185,1,0.51,2012
02232,3,0.38,2012
02261,1,0.13,2012
02280,1,0.27,2012
04001,2,0.67,2012
04003,19,0.39,2012
04005,37,0.28,2012
04007,7,0.46,2012
04009,3,0.27,2012
04011,2,0.51,2012
04012,1,0.21,2012
04013,1116,0.33,2012
04015,24,0.42,2012
04017,12,0.1,2012
04019,332,0.37,2012
04021,119,0.34,2012
04023,6,0.11,2012
04025,55,0.36,2012
04027,14,0.52,2012
05001,2,0.0,2012
05003,4,0.09,2012
05005,7,0.24,2012
05007,65,0.37,2012
05009,6,0.26,2012
05011,1,0.26,2012
05015,7,0.07,2012
05017,3,0.09,2012
05019,5,0.19,2012
05021,3,0.67,2012
05023,1,0.38,2012
05027,11,0.13,2012
05029,6,0.17,2012
05031,35,0.33,2012
05033,9,0.38,2012
05035,7,-0.04,2012
05037,3,0.64,2012
05043,3,-0.11,2012
05045,82,0.27,2012
05047,1,0.99,2012
05049,3,0.18,2012
05051,19,0.4,2012
05053,1,0.92,2012
05055,8,0.31,2012
05059,3,0.28,2012
05063,3,-0.01,2012
05065,1,0.56,2012
05067,2,0.6,2012
05069,11,0.02,2012
05071,4,0.3,2012
05077,2,0.39,2012
05083,1,0.18,2012
05085,17,0.5,2012
05087,2,0.4,2012
05089,3,0.38,2012
05091,1,-0.56,2012
05093,5,0.43,2012
05097,2,0.62,2012
05101,1,0.01,2012
05103,5,0.39,2012
05105,2,0.74,2012
05107,4,-0.14,2012
05109,1,0.65,2012
05111,2,0.28,2012
05113,4,0.48,2012
05115,35,0.46,2012
05117,2,-0.17,2012
05119,224,0.22,2012
05121,2,0.4,2012
05123,2,-0.19,2012
05125,25,0.46,2012
05129,1,0.67,2012
05131,14,0.38,2012
05135,5,0.52,2012
05137,2,0.84,2012
05139,3,0.4,2012
05141,3,0.15,2012
05143,105,0.35,2012
05145,14,0.34,2012
05149,3,0.36,2012
06001,1224,0.27,2012
06005,9,0.54,2012
06007,127,0.29,2012
06009,10,0.27,2012
06011,3,0.38,2012
06013,349,0.3,2012
06015,8,0.44,2012
06017,45,0.28,2012
06019,198,0.32,2012
06021,2,-0.02,2012
06023,38,0.27,2012
06025,17,0.31,2012
06027,1,0.16,2012
06029,157,0.39,2012
06031,11,0.5,2012
06033,17,0.41,2012
06035,17,0.54,2012
06037,2989,0.32,2012
06039,22,0.5,2012
06041,75,0.35,2012
06043,2,-0.02,2012
06045,30,0.39,2012
06047,30,0.38,2012
06049,2,0.66,2012
06053,147,0.34,2012
06055,50,0.43,2012
06057,21,0.31,2012
06059,952,0.38,2012
06061,244,0.28,2012
06065,464,0.27,2012
06067,758,0.31,2012
06069,16,0.1,2012
06071,459,0.24,2012
06073,1122,0.35,2012
06075,659,0.31,2012
06077,121,0.33,2012
06079,444,0.45,2012
06081,380,0.32,2012
06083,262,0.35,2012
06085,1160,0.34,2012
06087,165,0.31,2012
06089,67,0.31,2012
06093,14,0.17,2012
06095,106,0.18,2012
06097,240,0.34,2012
06099,69,0.39,2012
06101,26,0.37,2012
06103,5,0.31,2012
06107,47,0.44,2012
06109,7,0.29,2012
06111,252,0.4,2012
06113,234,0.37,2012
06115,21,0.38,2012
08001,142,0.26,2012
08005,497,0.29,2012
08007,1,0.6,2012
08013,294,0.35,2012
08014,42,0.36,2012
08015,2,0.82,2012
08019,1,-0.36,2012
08021,1,0.42,2012
08025,2,0.38,2012
08029,5,0.35,2012
08031,553,0.26,2012
08033,1,0.24,2012
08035,119,0.3,2012
08037,9,0.44,2012
08039,4,0.32,2012
08041,315,0.33,2012
08043,2,0.83,2012
08045,9,0.05,2012
08049,1,0.23,2012
08051,30,0.36,2012
08059,306,0.32,2012
