stateAbb,count,avgScore,stateName,year
AA,1,-0.24,,2021
AE,141,0.2,,2021
AK,871,0.23,Alaska,2021
AL,5735,0.23,Alabama,2021
AP,89,0.18,,2021
AR,4053,0.23,Arkansas,2021
AS,1,0.06,,2021
AZ,8667,0.23,Arizona,2021
CA,77467,0.21,California,2021
CO,14586,0.23,Colorado,2021
CT,8594,0.26,Connecticut,2021
DC,3658,0.17,District of Columbia,2021
DE,2463,0.25,Delaware,2021
FL,21811,0.25,Florida,2021
GA,15962,0.2,Georgia,2021
GU,29,0.3,,2021
HI,1250,0.23,Hawaii,2021
IA,7331,0.28,Iowa,2021
ID,2542,0.26,Idaho,2021
IL,27779,0.26,Illinois,2021
IN,12986,0.26,Indiana,2021
KS,5016,0.26,Kansas,2021
KY,6828,0.27,Kentucky,2021
LA,4187,0.22,Louisiana,2021
MA,22909,0.25,Massachusetts,2021
MD,14516,0.2,Maryland,2021
ME,2679,0.27,Maine,2021
MI,19344,0.27,Michigan,2021
MN,16713,0.27,Minnesota,2021
MO,11314,0.25,Missouri,2021
MP,2,-0.1,,2021
MS,2645,0.21,Mississippi,2021
MT,1293,0.23,Montana,2021
NC,17948,0.23,North Carolina,2021
ND,1066,0.3,North Dakota,2021
NE,4377,0.27,Nebraska,2021
NH,2877,0.29,New Hampshire,2021
NJ,15473,0.26,New Jersey,2021
NM,2485,0.21,New Mexico,2021
NV,3005,0.21,Nevada,2021
NY,36796,0.25,New York,2021
OH,26096,0.26,Ohio,2021
OK,4902,0.24,Oklahoma,2021
OR,10237,0.22,Oregon,2021
PA,25855,0.27,Pennsylvania,2021
PR,207,0.21,,2021
RI,2866,0.25,Rhode Island,2021
SC,5774,0.23,South Carolina,2021
SD,1183,0.28,South Dakota,2021
TN,7580,0.24,Tennessee,2021
TX,30184,0.23,Texas,2021
UT,6916,0.26,Utah,2021
VA,15463,0.23,Virginia,2021
VI,37,0.16,,2021
VT,2848,0.25,Vermont,2021
WA,22703,0.22,Washington,2021
WI,19252,0.29,Wisconsin,2021
WV,1817,0.27,West Virginia,2021
WY,640,0.24,Wyoming,2021
