fips,sum,count,avgScore
01001,12.36767669267261,41,0.30165065104079536
01003,81.51757375191038,238,0.342510814083657
01005,2.8450279595825894,11,0.258638905416599
01007,2.039864838124217,12,0.1699887365103514
01009,5.94791794674033,19,0.3130483129863332
01011,0.5722964154735242,5,0.11445928309470484
01013,2.1661365828273746,11,0.19692150752976134
01015,23.242614375907497,101,0.23012489481096532
01017,2.203094659270083,21,0.10490926948905158
01019,0.39368050054999804,9,0.04374227783888867
01021,6.188619989729538,19,0.32571684156471253
01023,1.4729758722562816,5,0.2945951744512563
01025,1.1989844833347256,11,0.10899858939406597
01027,2.782416433426991,6,0.46373607223783186
01029,2.3257132544649464,6,0.3876188757441577
01031,12.320594915949568,32,0.385018591123424
01033,10.665180274904053,26,0.41019924134246355
01035,-0.764582628499322,1,-0.764582628499322
01037,2.389330001848988,4,0.597332500462247
01039,8.112685632309256,20,0.40563428161546283
01041,0.8532015781703495,5,0.1706403156340699
01043,13.931306293863852,43,0.32398386729915934
01045,10.95269075960394,33,0.33189971998799817
01047,2.4722181292883034,11,0.22474710266257303
01049,12.594134693064428,37,0.340382018731471
01051,8.144216353246467,66,0.12339721747343131
01053,9.566876612131146,25,0.38267506448524585
01055,11.193338918605718,45,0.24874086485790486
01057,2.991609506432069,5,0.5983219012864138
01059,1.441609606168995,9,0.16017884512988834
01061,2.8644657456204907,10,0.2864465745620491
01063,0.6778245609597631,2,0.33891228047988153
01065,0.4287732981377999,5,0.08575465962755999
01067,0.9736089833691931,6,0.1622681638948655
01069,25.146622843770455,94,0.2675172642954304
01071,4.6749908644084925,17,0.27499946261226427
01073,358.8207800171202,1528,0.2348303534143457
01075,1.346629590184674,2,0.673314795092337
01077,14.748843549228974,57,0.2587516412145434
01079,0.8152756000180035,11,0.07411596363800031
01081,164.2181461725174,563,0.2916840962211677
01083,24.724091780430168,104,0.23773165173490546
01085,1.261281114070973,2,0.6306405570354865
01087,0.37923030389005796,10,0.037923030389005796
01089,133.00141947252496,498,0.2670711234388051
01091,1.7931179561199266,13,0.1379321504707636
01093,6.696642949041224,11,0.6087857226401113
01095,23.709858099937556,61,0.3886861983596321
01097,120.80126654578353,555,0.2176599397221325
01099,3.626857086075251,11,0.32971428055229557
01101,46.78643447188305,237,0.19741111591511834
01103,24.90088884353517,75,0.3320118512471356
01105,-0.4107321210298721,2,-0.20536606051493606
01107,0.4114614072001519,6,0.06857690120002531
01109,15.078632836024148,76,0.1984030636318967
01111,1.0717514545233346,9,0.11908349494703718
01113,7.17465660627963,39,0.18396555400717
01115,16.334275656870478,69,0.2367286327082678
01117,116.0939447385136,430,0.26998591799654326
01119,3.1013459092595896,14,0.2215247078042564
01121,9.137546137685453,35,0.26107274679101294
01123,5.198326161780736,20,0.2599163080890368
01125,77.55489817779659,297,0.2611276032922444
01127,13.590149669517919,39,0.3484653761414851
01129,1.7666660352433439,9,0.19629622613814932
01131,0.5821390983141586,5,0.11642781966283171
01133,3.128284269586596,6,0.521380711597766
02016,0.172983099264182,1,0.172983099264182
02020,130.35348954040495,575,0.2267017209398347
02050,3.776356944182122,14,0.26973978172729446
02060,0.904655470768193,1,0.904655470768193
02068,1.3653002363341527,8,0.17066252954176908
02070,1.062156364396944,11,0.09655966949063127
02090,31.978840035005277,162,0.1974002471296622
02100,4.649079925298153,9,0.5165644361442392
02110,28.67954583363226,90,0.3186616203736918
02122,14.76367163781087,57,0.2590117831194889
02130,2.677870419506878,13,0.20599003226975984
02150,0.060064045901682794,8,0.007508005737710349
02164,-0.523223494435308,3,-0.174407831478436
02170,20.33056060492477,74,0.27473730547195635
02180,1.1090028938086005,4,0.2772507234521501
02185,0.8801399194229101,4,0.22003497985572754
02188,1.2657975398363082,2,0.6328987699181541
02201,0.59822657263139,2,0.299113286315695
02220,6.608255166754831,16,0.41301594792217694
02232,4.822414935019613,9,0.5358238816688459
02240,0.749282047507,2,0.3746410237535
02261,2.755659618935791,4,0.6889149047339478
02270,0.815543872533915,2,0.4077719362669575
02280,3.084568842469812,8,0.3855711053087265
02290,1.732800979296824,4,0.433200244824206
04001,4.552441759788096,18,0.25291343109933867
04003,27.304651465398706,101,0.2703430838158288
04005,94.19080302526982,396,0.2378555631951258
04007,11.081909168156097,33,0.3358154293380635
04009,4.119552448739224,13,0.31688864990301724
04011,1.967742374109148,3,0.6559141247030493
04012,0.7148307654045893,5,0.14296615308091787
04013,1952.6486932872833,8057,0.24235431218658102
04015,29.3651442711654,85,0.3454722855431223
04017,8.893003450371436,33,0.2694849530415587
04019,412.70058265540644,1884,0.21905551096359152
04021,63.50509416686418,258,0.24614377584055885
04023,8.576365136975095,23,0.37288544073804764
04025,57.01194578290138,235,0.24260402460809097
04027,53.45239600565588,166,0.3220023855762402
05001,1.1432058503861375,8,0.1429007312982672
05003,2.395832659770523,5,0.47916653195410464
05005,9.426279831097991,20,0.47131399155489956
05007,201.13825824199245,782,0.25721004890280363
05009,4.870117387256354,15,0.3246744924837569
05011,-1.7962716328879749,3,-0.5987572109626583
05015,6.776341014208306,16,0.4235213133880191
05017,0.1415539765062561,3,0.0471846588354187
05019,9.843024160665285,35,0.2812292617332939
05021,2.6654663919654773,7,0.38078091313792534
05023,5.065807249611887,18,0.2814337360895493
05025,0.641425925260087,4,0.16035648131502175
05027,1.8783557199271277,7,0.2683365314181611
05029,-0.7488798020396339,12,-0.06240665016996949
05031,47.22744186253189,176,0.26833773785529486
05033,15.886554248111274,50,0.31773108496222546
05035,6.127155054033259,27,0.2269316686678985
05037,1.9386552165888817,6,0.32310920276481364
